#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
anno1.g7577.t3       -          PF13519_full         -                  0 1667.9  87.5   1.4e-13   52.0   0.3  62.2  56   6   3  62  62  62  57 -
anno1.g12286.t1      -          PF13519_full         -           1.7e-274  906.5 150.9     8e-15   56.1   0.8  35.1  34   1   0  35  35  35  35 -
anno1.g30694.t1      -          PF13519_full         -            2.6e-26   93.7   0.0   1.7e-07   32.1   0.0   4.4   4   0   0   4   4   4   4 -
anno1.g30394.t2      -          PF13519_full         -            4.9e-25   89.5   0.1   1.5e-07   32.3   0.0   3.5   3   0   0   3   3   3   3 -
anno1.g13343.t1      -          PF13519_full         -            1.6e-23   84.6   0.2     3e-13   50.9   0.1   2.1   2   0   0   2   2   2   2 -
anno1.g10070.t1      -          PF13519_full         -            1.8e-23   84.4   0.1   1.1e-22   81.9   0.0   2.2   2   0   0   2   2   1   1 -
anno1.g12377.t1      -          PF13519_full         -            3.3e-23   83.6   0.0   6.1e-23   82.7   0.0   1.4   1   0   0   1   1   1   1 -
anno1.g9176.t1       -          PF13519_full         -            8.7e-23   82.2   0.0   6.7e-10   40.0   0.0   2.1   2   0   0   2   2   2   2 -
anno1.g7358.t1       -          PF13519_full         -            8.9e-23   82.2   0.0   1.9e-22   81.1   0.0   1.5   1   0   0   1   1   1   1 -
anno1.g29440.t1      -          PF13519_full         -            3.4e-22   80.3   0.0   5.6e-10   40.2   0.0   2.2   2   0   0   2   2   2   2 -
anno1.g2242.t1       -          PF13519_full         -              8e-22   79.0   1.6     9e-09   36.3   0.1   3.1   2   1   1   3   3   3   3 -
anno1.g7359.t1       -          PF13519_full         -            7.2e-21   75.9   1.0   1.3e-10   42.4   0.0   2.9   3   0   0   3   3   2   2 -
anno1.g7354.t1       -          PF13519_full         -            5.2e-20   73.1   0.0   9.4e-20   72.3   0.0   1.3   1   0   0   1   1   1   1 -
anno1.g2243.t1       -          PF13519_full         -            1.3e-19   71.8   0.0   1.2e-10   42.4   0.0   2.1   2   0   0   2   2   2   2 -
anno1.g7367.t1       -          PF13519_full         -            5.4e-19   69.8   0.0   1.3e-18   68.5   0.0   1.6   1   0   0   1   1   1   1 -
anno1.g16819.t1      -          PF13519_full         -            1.3e-18   68.6   0.0   2.1e-18   67.9   0.0   1.3   1   0   0   1   1   1   1 -
anno1.g7357.t1       -          PF13519_full         -            4.8e-18   66.7   0.0   8.8e-18   65.8   0.0   1.3   1   0   0   1   1   1   1 -
anno1.g6971.t1       -          PF13519_full         -            6.3e-18   66.3   0.0   1.2e-17   65.3   0.0   1.4   1   0   0   1   1   1   1 -
anno1.g7356.t1       -          PF13519_full         -            6.3e-18   66.3   0.0   1.2e-17   65.4   0.0   1.3   1   0   0   1   1   1   1 -
anno1.g2244.t1       -          PF13519_full         -            8.3e-18   65.9   0.0   4.5e-08   34.0   0.0   2.2   2   0   0   2   2   2   2 -
anno1.g7580.t1       -          PF13519_full         -            9.4e-18   65.7   0.0   1.9e-09   38.5   0.0   2.1   2   0   0   2   2   2   2 -
anno1.g30709.t1      -          PF13519_full         -            1.5e-17   65.0   0.0     5e-09   37.1   0.0   2.3   2   0   0   2   2   2   2 -
anno1.g25965.t1      -          PF13519_full         -            2.8e-17   64.2   0.1   3.8e-17   63.7   0.1   1.1   1   0   0   1   1   1   1 -
anno1.g25966.t1      -          PF13519_full         -            4.2e-17   63.6   0.1     7e-17   62.9   0.1   1.2   1   0   0   1   1   1   1 -
anno1.g14005.t1      -          PF13519_full         -            1.2e-16   62.1   0.0   2.2e-08   35.0   0.0   2.3   2   0   0   2   2   2   2 -
anno1.g30693.t1      -          PF13519_full         -            2.4e-16   61.1   0.1   8.8e-07   29.8   0.0   2.2   2   0   0   2   2   2   2 -
anno1.g30393.t1      -          PF13519_full         -            2.4e-16   61.1   5.2   7.8e-10   39.8   0.0   3.4   3   0   0   3   3   3   3 -
anno1.g10888.t4      -          PF13519_full         -            4.4e-16   60.2   0.0   8.8e-09   36.3   0.1   3.2   3   0   0   3   3   2   2 -
anno1.g28913.t1      -          PF13519_full         -            1.1e-15   59.0   0.1   8.2e-08   33.2   0.0   2.1   2   0   0   2   2   2   2 -
anno1.g16815.t1      -          PF13519_full         -            1.4e-15   58.6   0.0   2.2e-15   58.0   0.0   1.3   1   0   0   1   1   1   1 -
anno1.g3093.t1       -          PF13519_full         -            1.5e-15   58.5   0.1   3.1e-15   57.5   0.1   1.5   1   0   0   1   1   1   1 -
anno1.g6572.t1       -          PF13519_full         -            6.2e-15   56.5   0.0   1.2e-14   55.6   0.0   1.4   1   0   0   1   1   1   1 -
anno1.g6573.t1       -          PF13519_full         -            6.2e-15   56.5   0.0   1.2e-14   55.6   0.0   1.4   1   0   0   1   1   1   1 -
anno1.g9595.t1       -          PF13519_full         -            6.8e-15   56.3   0.0   1.2e-14   55.5   0.0   1.3   1   0   0   1   1   1   1 -
anno1.g28203.t1      -          PF13519_full         -            1.1e-14   55.6   0.1   1.7e-14   55.0   0.1   1.2   1   0   0   1   1   1   1 -
anno1.g21818.t1      -          PF13519_full         -            1.2e-14   55.5   1.0   2.2e-06   28.5   0.2   2.3   2   0   0   2   2   2   2 -
anno1.g31685.t1      -          PF13519_full         -            1.5e-14   55.2   0.4   2.2e-14   54.7   0.4   1.2   1   0   0   1   1   1   1 -
anno1.g29179.t1      -          PF13519_full         -            5.3e-14   53.4   0.6   4.2e-06   27.6   0.1   3.1   3   0   0   3   3   2   2 -
anno1.g8564.t1       -          PF13519_full         -            5.7e-14   53.3   0.0   8.8e-14   52.7   0.0   1.2   1   0   0   1   1   1   1 -
anno1.g29437.t3      -          PF13519_full         -            1.2e-13   52.3   0.0   3.4e-05   24.6   0.0   3.2   3   0   0   3   3   3   2 -
anno1.g7206.t1       -          PF13519_full         -              2e-13   51.5   0.0   2.5e-13   51.2   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g23048.t1      -          PF13519_full         -            2.5e-13   51.2   0.0   8.6e-13   49.5   0.0   1.8   1   1   0   1   1   1   1 -
anno1.g16820.t1      -          PF13519_full         -            3.5e-13   50.7   0.0   1.2e-12   49.0   0.0   1.7   1   1   0   1   1   1   1 -
anno1.g29439.t1      -          PF13519_full         -            6.8e-13   49.8   0.0   7.6e-13   49.6   0.0   1.0   1   0   0   1   1   1   1 -
anno1.g24154.t1      -          PF13519_full         -            2.2e-12   48.1   0.0   3.9e-12   47.3   0.0   1.4   1   0   0   1   1   1   1 -
anno1.g25841.t1      -          PF13519_full         -            3.9e-12   47.3   0.0   5.3e-12   46.9   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g31829.t2      -          PF13519_full         -            4.1e-12   47.2   2.5    0.0012   19.5   0.4   3.6   3   1   0   3   3   3   3 -
anno1.g11388.t1      -          PF13519_full         -            4.4e-12   47.1   0.0   7.4e-12   46.4   0.0   1.2   1   0   0   1   1   1   1 -
anno1.g14118.t1      -          PF13519_full         -            4.6e-12   47.1   0.0   6.4e-12   46.6   0.0   1.2   1   0   0   1   1   1   1 -
anno1.g24543.t2      -          PF13519_full         -            4.7e-12   47.0   0.0   6.6e-12   46.6   0.0   1.2   1   0   0   1   1   1   1 -
anno1.g13426.t1      -          PF13519_full         -            5.9e-12   46.7   0.0   7.8e-12   46.3   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g28066.t1      -          PF13519_full         -            8.3e-12   46.2   0.0   1.4e-11   45.5   0.0   1.3   1   0   0   1   1   1   1 -
anno1.g7200.t1       -          PF13519_full         -            9.7e-12   46.0   0.0   1.2e-11   45.7   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g7201.t1       -          PF13519_full         -            9.7e-12   46.0   0.0   1.2e-11   45.7   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g3955.t1       -          PF13519_full         -              1e-11   45.9   0.0     1e-07   32.8   0.0   2.3   2   0   0   2   2   2   2 -
anno1.g2221.t1       -          PF13519_full         -            1.6e-11   45.3   0.0   2.1e-11   44.9   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g30703.t1      -          PF13519_full         -            1.7e-11   45.2   0.0   1.7e-11   45.2   0.0   1.7   2   0   0   2   2   1   1 -
anno1.g14882.t1      -          PF13519_full         -            2.9e-11   44.5   0.1   3.2e-11   44.3   0.1   1.0   1   0   0   1   1   1   1 -
anno1.g30710.t1      -          PF13519_full         -            4.1e-11   44.0   0.0   5.7e-11   43.5   0.0   1.2   1   0   0   1   1   1   1 -
anno1.g21554.t1      -          PF13519_full         -            4.2e-11   43.9   0.0   6.2e-11   43.4   0.0   1.2   1   0   0   1   1   1   1 -
anno1.g21555.t1      -          PF13519_full         -            4.7e-11   43.8   0.0   5.9e-11   43.5   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g27142.t1      -          PF13519_full         -            6.3e-11   43.4   0.0   1.2e-10   42.5   0.0   1.3   1   0   0   1   1   1   1 -
anno1.g28186.t1      -          PF13519_full         -            6.7e-11   43.3   0.0   1.3e-10   42.4   0.0   1.4   1   0   0   1   1   1   1 -
anno1.g13790.t1      -          PF13519_full         -            7.1e-11   43.2   0.0   2.6e-10   41.3   0.0   1.9   2   0   0   2   2   1   1 -
anno1.g15820.t1      -          PF13519_full         -            9.1e-11   42.8   0.0   1.3e-10   42.3   0.0   1.2   1   0   0   1   1   1   1 -
anno1.g14003.t1      -          PF13519_full         -            9.3e-11   42.8   0.1     2e-10   41.7   0.1   1.5   1   0   0   1   1   1   1 -
anno1.g22834.t1      -          PF13519_full         -            1.4e-10   42.2   0.0   2.6e-10   41.3   0.0   1.3   1   0   0   1   1   1   1 -
anno1.g4484.t1       -          PF13519_full         -            1.5e-10   42.1   0.1     2e-06   28.6   0.1   2.9   2   1   0   2   2   2   2 -
anno1.g20598.t2      -          PF13519_full         -            1.7e-10   41.9   0.1   4.6e-10   40.5   0.1   1.7   1   0   0   1   1   1   1 -
anno1.g7202.t1       -          PF13519_full         -            2.4e-10   41.4   0.0   3.7e-10   40.8   0.0   1.2   1   0   0   1   1   1   1 -
anno1.g26417.t1      -          PF13519_full         -            3.2e-10   41.0   0.0   5.3e-10   40.3   0.0   1.2   1   0   0   1   1   1   1 -
anno1.g23574.t1      -          PF13519_full         -            3.5e-10   40.9   0.0   5.7e-10   40.2   0.0   1.2   1   0   0   1   1   1   1 -
anno1.g13789.t1      -          PF13519_full         -            4.4e-10   40.6   0.0     1e-09   39.4   0.0   1.6   1   0   0   1   1   1   1 -
anno1.g24545.t2      -          PF13519_full         -            5.4e-10   40.3   0.0   8.9e-10   39.6   0.0   1.2   1   0   0   1   1   1   1 -
anno1.g26416.t1      -          PF13519_full         -            5.5e-10   40.3   0.0   9.1e-10   39.6   0.0   1.2   1   0   0   1   1   1   1 -
anno1.g18434.t1      -          PF13519_full         -            7.4e-10   39.8   0.0   2.5e-06   28.3   0.1   2.3   2   0   0   2   2   2   1 -
anno1.g1745.t1       -          PF13519_full         -            8.3e-10   39.7   0.3     1e-09   39.4   0.3   1.1   1   0   0   1   1   1   1 -
anno1.g6931.t1       -          PF13519_full         -            8.5e-10   39.7   0.0   1.3e-09   39.1   0.0   1.2   1   0   0   1   1   1   1 -
anno1.g16730.t1      -          PF13519_full         -            8.7e-10   39.6   0.0   1.2e-09   39.2   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g23279.t1      -          PF13519_full         -            1.2e-09   39.1   0.1   2.3e-09   38.2   0.1   1.3   1   0   0   1   1   1   1 -
anno1.g25012.t1      -          PF13519_full         -            1.5e-09   38.9   0.0   2.2e-08   35.0   0.0   2.2   1   1   0   1   1   1   1 -
anno1.g5902.t1       -          PF13519_full         -            1.5e-09   38.8   0.0    0.0027   18.3   0.0   2.2   2   0   0   2   2   2   2 -
anno1.g18182.t1      -          PF13519_full         -            1.6e-09   38.7   0.0   2.5e-09   38.1   0.0   1.2   1   0   0   1   1   1   1 -
anno1.g26356.t1      -          PF13519_full         -            2.3e-09   38.3   0.1   3.2e-09   37.8   0.1   1.2   1   0   0   1   1   1   1 -
anno1.g8563.t1       -          PF13519_full         -            3.8e-09   37.5   0.0   4.5e-09   37.3   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g8419.t1       -          PF13519_full         -            3.8e-09   37.5   0.0   6.5e-09   36.8   0.0   1.3   1   0   0   1   1   1   1 -
anno1.g1760.t1       -          PF13519_full         -            5.3e-09   37.0   0.0     8e-09   36.5   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g23600.t1      -          PF13519_full         -            7.5e-09   36.5   0.3   1.9e-08   35.2   0.0   1.7   2   0   0   2   2   1   1 -
anno1.g3916.t1       -          PF13519_full         -            7.8e-09   36.5   0.0   8.6e-09   36.4   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g29438.t1      -          PF13519_full         -            7.9e-09   36.5   0.0   9.6e-09   36.2   0.0   1.0   1   0   0   1   1   1   1 -
anno1.g29433.t1      -          PF13519_full         -            8.3e-09   36.4   0.0   1.5e-08   35.5   0.0   1.4   1   0   0   1   1   1   1 -
anno1.g10647.t1      -          PF13519_full         -            8.8e-09   36.3   0.0   1.2e-08   35.9   0.0   1.2   1   0   0   1   1   1   1 -
anno1.g30692.t1      -          PF13519_full         -              1e-08   36.1   2.3   4.9e-08   33.9   0.0   2.2   2   0   0   2   2   2   1 -
anno1.g5651.t1       -          PF13519_full         -            1.3e-08   35.7   0.0   1.8e-08   35.3   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g30706.t1      -          PF13519_full         -            1.7e-08   35.4   0.0   5.5e-08   33.7   0.0   1.8   1   0   0   1   1   1   1 -
anno1.g27188.t1      -          PF13519_full         -            2.3e-08   35.0   0.0   2.8e-08   34.7   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g30712.t1      -          PF13519_full         -            2.7e-08   34.8   0.0   2.7e-08   34.8   0.0   1.9   2   0   0   2   2   1   1 -
anno1.g22837.t1      -          PF13519_full         -            3.1e-08   34.6   0.0     6e-08   33.6   0.0   1.4   1   0   0   1   1   1   1 -
anno1.g13345.t1      -          PF13519_full         -            3.6e-08   34.3   0.1   5.3e-08   33.8   0.1   1.2   1   0   0   1   1   1   1 -
anno1.g28204.t1      -          PF13519_full         -            7.5e-08   33.3   0.0     1e-07   32.8   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g3963.t1       -          PF13519_full         -            7.6e-08   33.3   0.0   1.7e-07   32.1   0.0   1.6   1   0   0   1   1   1   1 -
anno1.g20254.t2      -          PF13519_full         -            8.9e-08   33.0   0.0   1.4e-07   32.4   0.0   1.2   1   0   0   1   1   1   1 -
anno1.g16032.t1      -          PF13519_full         -            9.5e-08   32.9   0.1   2.1e-07   31.8   0.1   1.5   1   0   0   1   1   1   1 -
anno1.g22747.t1      -          PF13519_full         -            1.3e-07   32.5   0.0   1.3e-07   32.5   0.0   1.0   1   0   0   1   1   1   1 -
anno1.g7507.t1       -          PF13519_full         -            1.4e-07   32.4   0.0   2.7e-07   31.5   0.0   1.4   1   0   0   1   1   1   1 -
anno1.g14004.t1      -          PF13519_full         -            1.9e-07   31.9   0.0   2.4e-07   31.6   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g4485.t1       -          PF13519_full         -            2.8e-07   31.4   0.0   8.2e-07   29.9   0.0   1.8   1   0   0   1   1   1   1 -
anno1.g27187.t1      -          PF13519_full         -            2.9e-07   31.3   0.0     5e-07   30.6   0.0   1.3   1   0   0   1   1   1   1 -
anno1.g27190.t1      -          PF13519_full         -            3.4e-07   31.1   0.0   6.6e-07   30.2   0.0   1.3   1   0   0   1   1   1   1 -
anno1.g7502.t1       -          PF13519_full         -            4.1e-07   30.9   0.2   2.2e-06   28.5   0.0   2.2   2   1   0   2   2   1   1 -
anno1.g20964.t1      -          PF13519_full         -            6.6e-07   30.2   0.1     0.089   13.4   0.0   3.1   3   0   0   3   3   3   2 -
anno1.g3962.t1       -          PF13519_full         -            7.3e-07   30.1   0.0   2.2e-06   28.5   0.0   1.8   1   0   0   1   1   1   1 -
anno1.g50.t1         -          PF13519_full         -            7.7e-07   30.0   0.0   8.6e-07   29.8   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g8396.t1       -          PF13519_full         -            9.7e-07   29.6   0.3   1.8e-06   28.8   0.0   1.5   2   0   0   2   2   1   1 -
anno1.g31821.t1      -          PF13519_full         -              1e-06   29.5   0.2   2.5e-06   28.3   0.2   1.6   1   0   0   1   1   1   1 -
anno1.g1507.t1       -          PF13519_full         -            1.4e-06   29.1   0.0   3.2e-06   27.9   0.0   1.5   1   0   0   1   1   1   1 -
anno1.g28025.t1      -          PF13519_full         -            1.7e-06   28.8   0.0   4.2e-06   27.6   0.0   1.6   1   0   0   1   1   1   1 -
anno1.g30192.t1      -          PF13519_full         -            3.6e-06   27.8   0.0   6.5e-06   26.9   0.0   1.3   1   0   0   1   1   1   1 -
anno1.g31827.t1      -          PF13519_full         -            4.9e-06   27.3   0.1   1.3e-05   25.9   0.1   1.7   1   0   0   1   1   1   1 -
anno1.g29434.t1      -          PF13519_full         -              9e-06   26.5   0.0   1.1e-05   26.1   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g15819.t1      -          PF13519_full         -            1.1e-05   26.1   0.0   1.1e-05   26.1   0.0   1.7   2   0   0   2   2   1   1 -
anno1.g20732.t1      -          PF13519_full         -            1.6e-05   25.7   0.2     0.015   15.9   0.0   2.4   2   0   0   2   2   2   1 -
anno1.g22260.t1      -          PF13519_full         -            3.3e-05   24.6   0.0   4.7e-05   24.1   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g14001.t1      -          PF13519_full         -            5.1e-05   24.0   0.4   6.5e-05   23.7   0.4   1.2   1   0   0   1   1   1   1 -
anno1.g1743.t1       -          PF13519_full         -            5.6e-05   23.9   0.0   7.8e-05   23.4   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g13821.t1      -          PF13519_full         -            6.3e-05   23.7   0.2   0.00011   22.9   0.2   1.3   1   0   0   1   1   1   1 -
anno1.g8126.t1       -          PF13519_full         -            6.8e-05   23.6   0.0    0.0002   22.0   0.0   1.8   1   1   0   1   1   1   1 -
anno1.g16938.t2      -          PF13519_full         -              8e-05   23.4   0.1   0.00014   22.5   0.1   1.3   1   0   0   1   1   1   1 -
anno1.g14002.t1      -          PF13519_full         -            8.5e-05   23.3   0.4   0.00012   22.8   0.4   1.2   1   0   0   1   1   1   1 -
anno1.g10887.t1      -          PF13519_full         -            0.00013   22.7   0.0   0.00014   22.6   0.0   1.0   1   0   0   1   1   1   1 -
anno1.g31382.t1      -          PF13519_full         -            0.00014   22.6   0.0   0.00017   22.3   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g22258.t1      -          PF13519_full         -            0.00014   22.5   0.0    0.0002   22.1   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g31588.t1      -          PF13519_full         -            0.00025   21.8   0.0   0.00069   20.3   0.0   1.7   1   1   0   1   1   1   1 -
anno1.g3954.t1       -          PF13519_full         -            0.00077   20.1   0.0    0.0019   18.8   0.0   1.6   1   1   0   1   1   1   1 -
anno1.g28262.t1      -          PF13519_full         -              0.001   19.7   0.4    0.0041   17.8   0.1   1.9   1   1   1   2   2   2   1 -
anno1.g5260.t1       -          PF13519_full         -             0.0013   19.4   0.0    0.0025   18.5   0.0   1.4   1   0   0   1   1   1   1 -
anno1.g3953.t1       -          PF13519_full         -             0.0013   19.4   0.0     0.003   18.2   0.0   1.6   1   0   0   1   1   1   1 -
anno1.g26126.t1      -          PF13519_full         -             0.0014   19.3   0.0     0.002   18.8   0.0   1.2   1   0   0   1   1   1   1 -
anno1.g5543.t1       -          PF13519_full         -             0.0015   19.2   0.0    0.0027   18.3   0.0   1.4   1   0   0   1   1   1   1 -
anno1.g30691.t1      -          PF13519_full         -             0.0015   19.2   0.0    0.0021   18.7   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g24224.t1      -          PF13519_full         -             0.0018   19.0   0.0    0.0022   18.6   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g26398.t1      -          PF13519_full         -              0.002   18.8   0.0    0.0036   17.9   0.0   1.4   1   0   0   1   1   1   1 -
anno1.g22188.t1      -          PF13519_full         -             0.0023   18.6   0.0    0.0039   17.8   0.0   1.3   1   0   0   1   1   1   1 -
anno1.g11987.t1      -          PF13519_full         -             0.0025   18.5   0.1     0.003   18.2   0.1   1.2   1   0   0   1   1   1   1 -
anno1.g4422.t1       -          PF13519_full         -             0.0025   18.5   0.0    0.0045   17.6   0.0   1.4   1   0   0   1   1   1   1 -
anno1.g21528.t1      -          PF13519_full         -              0.008   16.8   0.0     0.015   15.9   0.0   1.4   1   0   0   1   1   1   1 -
anno1.g16814.t1      -          PF13519_full         -              0.017   15.7   0.0     0.019   15.6   0.0   1.1   1   0   0   1   1   1   0 -
anno1.g4420.t2       -          PF13519_full         -              0.063   13.9   0.0      0.12   13.0   0.0   1.4   1   0   0   1   1   1   0 -
anno1.g17829.t1      -          PF13519_full         -              0.073   13.7   0.0      0.18   12.4   0.0   1.6   1   0   0   1   1   1   0 -
anno1.g4483.t1       -          PF13519_full         -               0.13   12.8   0.2      0.21   12.2   0.2   1.3   1   0   0   1   1   1   0 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      ../output/PF13519_full_profile.hmm
# Target file:     ../input/braker_aa_files/o_faveolata_soft_mask_braker_filtered_proteins.fa
# Option settings: hmmsearch --tblout ../output/hmmer_txt_output/braker3_gff/o_faveolata_soft_mask_braker_filtered_proteins_PF13519_full_profile_hmmer_braker3_gff_results.txt ../output/PF13519_full_profile.hmm ../input/braker_aa_files/o_faveolata_soft_mask_braker_filtered_proteins.fa 
# Current dir:     /home/tanya/Work_files/TIR_Domains/Coral/procedure
# Date:            Sat Feb 15 18:53:53 2025
# [ok]
