#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
anno1.g737.t1        -          PF13927_seed         -                  0 3139.6  11.2   4.5e-18   66.4   0.1  73.5  73   0   0  73  73  73  73 -
anno1.g15993.t2      -          PF13927_seed         -                  0 1096.9  62.8     9e-14   52.6   0.1  29.9  29   0   0  29  29  29  27 -
anno1.g30136.t1      -          PF13927_seed         -            1.1e-47  161.3  22.4   1.5e-14   55.1   0.6   5.6   5   0   0   5   5   5   5 -
anno1.g12296.t1      -          PF13927_seed         -            1.1e-47  161.2   7.9   2.5e-15   57.6   0.1   5.4   5   0   0   5   5   4   4 -
anno1.g24451.t2      -          PF13927_seed         -            1.2e-47  161.2   0.2   2.7e-14   54.3   0.0   3.7   3   0   0   3   3   3   3 -
anno1.g20033.t1      -          PF13927_seed         -            1.5e-47  160.9  21.7   2.8e-14   54.2   0.2   7.4   7   1   0   7   7   6   5 -
anno1.g13388.t1      -          PF13927_seed         -            4.5e-47  159.3  10.5     8e-17   62.4   0.1   4.3   4   0   0   4   4   3   3 -
anno1.g549.t1        -          PF13927_seed         -            5.3e-47  159.1   9.9   1.8e-12   48.4   0.0   6.2   6   0   0   6   6   5   4 -
anno1.g3420.t1       -          PF13927_seed         -            5.3e-47  159.1   0.1   1.2e-11   45.7   0.2   4.6   4   0   0   4   4   4   4 -
anno1.g8322.t1       -          PF13927_seed         -              5e-46  155.9   1.9   1.7e-11   45.3   0.0   5.3   5   0   0   5   5   5   4 -
anno1.g22036.t1      -          PF13927_seed         -            9.4e-46  155.1   1.5   1.7e-16   61.3   0.1   3.7   3   0   0   3   3   3   3 -
anno1.g31135.t1      -          PF13927_seed         -            9.9e-46  155.0  10.7   5.6e-15   56.5   0.0   4.7   5   0   0   5   5   4   3 -
anno1.g9902.t1       -          PF13927_seed         -            1.9e-45  154.1   8.2   2.2e-10   41.7   0.0   5.8   5   0   0   5   5   5   5 -
anno1.g4739.t1       -          PF13927_seed         -              1e-44  151.7   3.9   3.3e-12   47.6   0.1   4.6   4   1   0   4   4   4   4 -
anno1.g22960.t1      -          PF13927_seed         -            2.2e-43  147.5   0.5   4.5e-11   43.9   0.1   6.3   5   0   0   5   5   5   5 -
anno1.g23626.t1      -          PF13927_seed         -            2.3e-43  147.4  10.9   5.9e-12   46.8   0.2   5.7   5   1   0   5   5   5   4 -
anno1.g15563.t1      -          PF13927_seed         -            3.7e-43  146.8   1.5   2.9e-15   57.4   0.2   4.1   4   0   0   4   4   3   3 -
anno1.g373.t1        -          PF13927_seed         -            4.3e-43  146.5   1.0   3.7e-16   60.2   0.4   3.4   3   0   0   3   3   3   3 -
anno1.g385.t1        -          PF13927_seed         -            4.8e-43  146.4   3.7   9.9e-15   55.7   0.0   3.8   4   0   0   4   4   3   3 -
anno1.g23972.t2      -          PF13927_seed         -            2.2e-42  144.3   0.6   2.5e-15   57.6   0.7   3.9   3   0   0   3   3   3   3 -
anno1.g7728.t1       -          PF13927_seed         -            5.3e-42  143.1   0.9   1.4e-10   42.4   0.2   4.6   4   0   0   4   4   4   4 -
anno1.g371.t1        -          PF13927_seed         -            5.4e-42  143.0   0.0   3.1e-14   54.1   0.0   3.5   3   0   0   3   3   3   3 -
anno1.g367.t1        -          PF13927_seed         -            5.7e-42  143.0   1.0   1.1e-15   58.7   0.3   3.8   4   0   0   4   4   3   3 -
anno1.g369.t1        -          PF13927_seed         -            2.1e-41  141.1   0.5   7.8e-14   52.8   0.0   4.2   4   0   0   4   4   3   3 -
anno1.g23382.t1      -          PF13927_seed         -            2.4e-41  140.9   0.2   3.4e-14   53.9   0.0   3.4   3   0   0   3   3   3   3 -
anno1.g30147.t1      -          PF13927_seed         -            7.7e-41  139.3   4.8   8.1e-11   43.1   0.0   4.6   4   0   0   4   4   4   4 -
anno1.g23973.t1      -          PF13927_seed         -            1.7e-40  138.2   0.1     2e-15   57.9   0.5   3.6   3   0   0   3   3   3   3 -
anno1.g27451.t2      -          PF13927_seed         -            4.6e-40  136.8   8.4   1.5e-15   58.3   0.1   4.0   4   1   0   4   4   3   3 -
anno1.g8812.t1       -          PF13927_seed         -              5e-40  136.7   1.6   2.9e-14   54.2   0.0   4.0   5   0   0   5   5   3   3 -
anno1.g22439.t1      -          PF13927_seed         -            5.7e-40  136.5   0.0   2.5e-11   44.8   0.1   5.9   5   0   0   5   5   5   3 -
anno1.g6129.t1       -          PF13927_seed         -            1.7e-39  135.0   1.1   5.9e-15   56.4   0.0   4.2   4   1   0   4   4   3   3 -
anno1.g23967.t1      -          PF13927_seed         -            2.2e-39  134.7   0.8   7.4e-15   56.1   0.6   3.6   3   0   0   3   3   3   3 -
anno1.g23974.t1      -          PF13927_seed         -            3.3e-39  134.1   0.4   9.6e-13   49.3   0.0   3.6   3   0   0   3   3   3   3 -
anno1.g3441.t1       -          PF13927_seed         -            7.6e-39  132.9  23.7   6.3e-05   24.3   0.0  13.0  12   2   0  12  12  11   5 -
anno1.g23971.t1      -          PF13927_seed         -              8e-39  132.9   0.1   1.6e-12   48.6   0.0   3.8   3   0   0   3   3   3   3 -
anno1.g20649.t2      -          PF13927_seed         -            9.2e-39  132.7   0.1   1.3e-12   48.9   0.0   4.2   3   1   0   3   3   3   3 -
anno1.g15643.t1      -          PF13927_seed         -            2.5e-38  131.3   2.6   1.2e-17   65.1   0.1   3.7   3   0   0   3   3   3   3 -
anno1.g30300.t1      -          PF13927_seed         -            2.7e-38  131.2   0.0   7.4e-12   46.5   0.0   5.0   4   0   0   4   4   4   3 -
anno1.g23968.t1      -          PF13927_seed         -            8.5e-38  129.6   0.2   2.1e-11   45.0   0.3   3.7   3   0   0   3   3   3   3 -
anno1.g7564.t1       -          PF13927_seed         -              1e-37  129.4   0.4   7.7e-14   52.8   0.0   3.8   3   1   0   3   3   3   3 -
anno1.g11139.t1      -          PF13927_seed         -            1.6e-37  128.7   7.4   5.5e-07   30.8   0.2   6.4   6   0   0   6   6   6   5 -
anno1.g8175.t1       -          PF13927_seed         -            2.3e-37  128.2   1.9   1.1e-08   36.3   0.0   6.4   6   0   0   6   6   6   6 -
anno1.g24587.t1      -          PF13927_seed         -            5.2e-37  127.1  20.8   2.1e-13   51.4   0.2   6.3   6   1   0   6   6   5   4 -
anno1.g8201.t1       -          PF13927_seed         -            1.5e-36  125.5   2.1   7.1e-15   56.1   0.0   3.7   4   0   0   4   4   3   3 -
anno1.g15645.t1      -          PF13927_seed         -            2.1e-36  125.1   4.2   2.2e-16   61.0   0.1   3.7   3   0   0   3   3   3   3 -
anno1.g14455.t1      -          PF13927_seed         -            3.7e-36  124.3   1.4   9.1e-14   52.6   0.0   3.7   3   0   0   3   3   3   3 -
anno1.g15646.t1      -          PF13927_seed         -            1.9e-35  122.1   6.3   6.7e-17   62.6   0.1   3.9   3   1   0   3   3   3   3 -
anno1.g15642.t1      -          PF13927_seed         -            8.2e-35  120.0   3.3     5e-18   66.2   0.2   3.7   3   1   0   3   3   3   2 -
anno1.g7755.t1       -          PF13927_seed         -            8.5e-35  120.0   5.7   2.1e-11   45.0   0.0   5.6   5   0   0   5   5   5   4 -
anno1.g6143.t1       -          PF13927_seed         -            1.4e-34  119.3   0.4   1.3e-11   45.7   0.0   3.9   3   0   0   3   3   3   3 -
anno1.g4157.t1       -          PF13927_seed         -            1.6e-34  119.1   8.7   1.6e-12   48.6   0.3   5.8   6   0   0   6   6   4   3 -
anno1.g28462.t1      -          PF13927_seed         -            1.9e-34  118.9   2.6   7.5e-12   46.4   0.0   3.5   3   0   0   3   3   3   3 -
anno1.g9899.t1       -          PF13927_seed         -            5.7e-34  117.3   8.4   4.7e-10   40.7   0.0   5.1   5   0   0   5   5   4   4 -
anno1.g20136.t2      -          PF13927_seed         -            1.2e-33  116.3  11.2   1.2e-11   45.8   0.1   3.8   4   0   0   4   4   3   3 -
anno1.g8170.t1       -          PF13927_seed         -            1.4e-33  116.1   0.0   2.1e-06   29.0   0.0   5.2   5   0   0   5   5   5   5 -
anno1.g9900.t2       -          PF13927_seed         -            2.1e-33  115.5   7.6   9.5e-11   42.9   0.0   5.1   5   0   0   5   5   4   4 -
anno1.g23781.t1      -          PF13927_seed         -            3.3e-33  114.9  10.4   1.4e-16   61.6   0.2   4.5   3   1   1   4   4   4   2 -
anno1.g15454.t1      -          PF13927_seed         -            3.4e-33  114.9   0.4   6.4e-11   43.5   0.0   3.7   3   0   0   3   3   3   3 -
anno1.g25466.t1      -          PF13927_seed         -            4.2e-33  114.5  20.4   3.5e-09   37.9   0.3   6.0   5   1   0   5   5   5   5 -
anno1.g31031.t1      -          PF13927_seed         -            1.7e-32  112.6   1.3   7.1e-16   59.3   0.1   3.5   3   0   0   3   3   3   3 -
anno1.g7147.t2       -          PF13927_seed         -            3.1e-32  111.8   0.7   2.1e-10   41.8   0.1   3.8   3   0   0   3   3   3   3 -
anno1.g20210.t1      -          PF13927_seed         -            4.2e-32  111.3   0.9   1.4e-10   42.4   0.0   3.3   3   0   0   3   3   3   3 -
anno1.g23632.t1      -          PF13927_seed         -            6.3e-32  110.8  13.3   4.9e-11   43.8   0.3   5.2   4   2   0   4   4   4   3 -
anno1.g30139.t1      -          PF13927_seed         -            1.2e-31  109.8  21.7     6e-12   46.8   0.7   4.0   4   0   0   4   4   3   3 -
anno1.g19060.t1      -          PF13927_seed         -            3.7e-31  108.3   2.0   4.7e-15   56.7   0.0   4.9   3   2   1   4   4   4   2 -
anno1.g6153.t1       -          PF13927_seed         -            4.6e-31  108.0   0.2   7.6e-12   46.4   0.0   4.5   3   1   0   3   3   3   3 -
anno1.g25746.t1      -          PF13927_seed         -              6e-30  104.4   0.6   3.2e-12   47.6   0.2   3.8   3   0   0   3   3   3   3 -
anno1.g15992.t1      -          PF13927_seed         -              7e-30  104.2   0.0   1.8e-14   54.8   0.0   2.3   2   0   0   2   2   2   2 -
anno1.g23624.t1      -          PF13927_seed         -            8.6e-30  103.9  13.4   9.3e-10   39.7   0.0   5.8   5   2   0   5   5   5   4 -
anno1.g20182.t1      -          PF13927_seed         -            1.2e-29  103.5   0.4   1.1e-09   39.5   0.0   3.4   3   0   0   3   3   3   3 -
anno1.g27838.t1      -          PF13927_seed         -            3.3e-29  102.0   0.7   4.6e-15   56.7   0.1   3.2   4   0   0   4   4   2   2 -
anno1.g18544.t2      -          PF13927_seed         -            4.2e-29  101.7   7.8   4.3e-14   53.6   1.4   4.7   4   1   0   4   4   4   3 -
anno1.g12776.t1      -          PF13927_seed         -            9.3e-29  100.6   5.3   6.6e-14   53.0   0.4   4.5   4   0   0   4   4   4   2 -
anno1.g24599.t1      -          PF13927_seed         -            1.2e-28  100.2   3.9   4.3e-15   56.8   0.3   4.0   4   0   0   4   4   3   2 -
anno1.g22426.t2      -          PF13927_seed         -            1.5e-28  100.0   5.5   7.7e-14   52.8   0.2   4.8   4   0   0   4   4   3   2 -
anno1.g27808.t1      -          PF13927_seed         -            1.9e-28   99.6   8.8   1.1e-16   61.9   0.2   3.6   5   0   0   5   5   2   2 -
anno1.g16712.t1      -          PF13927_seed         -            2.8e-28   99.1   1.1     6e-15   56.4   0.3   7.2   6   1   1   7   7   2   2 -
anno1.g31029.t1      -          PF13927_seed         -              6e-28   98.0   0.8   7.8e-13   49.6   0.0   2.2   2   0   0   2   2   2   2 -
anno1.g12778.t1      -          PF13927_seed         -              8e-28   97.6   0.9   4.6e-13   50.3   0.1   4.2   4   0   0   4   4   3   2 -
anno1.g29742.t1      -          PF13927_seed         -            8.2e-28   97.6   0.0   3.1e-15   57.3   0.0   2.6   2   0   0   2   2   2   2 -
anno1.g27809.t1      -          PF13927_seed         -              1e-27   97.3   0.5   3.4e-13   50.8   0.1   3.0   3   0   0   3   3   2   2 -
anno1.g1547.t1       -          PF13927_seed         -            1.5e-27   96.7   0.0   1.2e-13   52.2   0.0   3.6   2   0   0   2   2   2   2 -
anno1.g7725.t2       -          PF13927_seed         -            3.7e-27   95.5   6.4   8.4e-11   43.1   0.0   5.7   6   0   0   6   6   4   3 -
anno1.g6721.t1       -          PF13927_seed         -            7.1e-27   94.6  27.2   2.8e-09   38.2   0.1   7.4   6   2   0   6   6   5   3 -
anno1.g7547.t2       -          PF13927_seed         -            1.1e-26   94.0  15.2   5.3e-09   37.3   0.1   6.1   5   1   0   5   5   5   3 -
anno1.g24595.t1      -          PF13927_seed         -              2e-26   93.2   7.7   9.1e-12   46.2   1.3   4.3   4   0   0   4   4   3   2 -
anno1.g6712.t1       -          PF13927_seed         -            2.1e-26   93.1   2.9   1.3e-12   48.9   0.2   4.6   4   1   0   4   4   3   2 -
anno1.g1174.t1       -          PF13927_seed         -            2.5e-26   92.8   0.2   1.1e-13   52.4   0.0   2.6   3   0   0   3   3   2   2 -
anno1.g12732.t1      -          PF13927_seed         -            3.9e-26   92.2   0.0   1.4e-13   51.9   0.0   2.6   2   0   0   2   2   2   2 -
anno1.g9901.t1       -          PF13927_seed         -            4.8e-26   91.9   1.1   6.3e-11   43.5   0.0   4.1   4   0   0   4   4   3   3 -
anno1.g23430.t1      -          PF13927_seed         -            5.4e-26   91.8   7.0   8.1e-13   49.5   0.6   3.7   3   1   0   3   3   3   3 -
anno1.g6079.t1       -          PF13927_seed         -            6.4e-26   91.5   0.0   2.4e-11   44.8   0.0   2.5   2   0   0   2   2   2   2 -
anno1.g31699.t1      -          PF13927_seed         -            1.1e-25   90.8   0.7   7.3e-12   46.5   0.3   3.3   2   0   0   2   2   2   2 -
anno1.g29741.t1      -          PF13927_seed         -            3.3e-25   89.3   0.5   5.5e-11   43.7   0.1   2.5   2   0   0   2   2   2   2 -
anno1.g22424.t1      -          PF13927_seed         -              4e-25   89.0   9.9     5e-14   53.4   0.1   4.9   5   0   0   5   5   2   2 -
anno1.g3380.t1       -          PF13927_seed         -            6.3e-25   88.3   4.4   1.4e-11   45.6   0.2   2.6   2   0   0   2   2   2   2 -
anno1.g10218.t1      -          PF13927_seed         -            7.2e-25   88.2   0.8   6.4e-09   37.1   0.1   4.0   4   0   0   4   4   3   3 -
anno1.g9987.t1       -          PF13927_seed         -            8.7e-25   87.9   0.3   9.9e-11   42.9   0.0   3.9   3   0   0   3   3   3   3 -
anno1.g30622.t1      -          PF13927_seed         -            2.3e-24   86.5   0.1   4.1e-11   44.1   0.0   2.4   2   0   0   2   2   2   2 -
anno1.g14433.t1      -          PF13927_seed         -            3.6e-24   85.9   0.1   1.6e-14   55.0   0.1   3.0   2   0   0   2   2   2   2 -
anno1.g22411.t1      -          PF13927_seed         -            5.4e-24   85.4  14.0   5.2e-15   56.6   0.8   4.5   6   0   0   6   6   2   2 -
anno1.g4163.t1       -          PF13927_seed         -            7.1e-24   85.0   0.1   1.6e-10   42.2   0.1   2.8   2   0   0   2   2   2   2 -
anno1.g3943.t1       -          PF13927_seed         -            1.4e-23   84.0   0.2   7.9e-11   43.2   0.0   2.5   2   0   0   2   2   2   2 -
anno1.g12777.t2      -          PF13927_seed         -            8.6e-23   81.5   5.8     3e-12   47.7   0.1   4.7   4   1   0   4   4   4   2 -
anno1.g31118.t1      -          PF13927_seed         -              3e-22   79.8   5.7   1.7e-10   42.1   0.1   4.2   4   0   0   4   4   3   2 -
anno1.g10229.t1      -          PF13927_seed         -              3e-22   79.8   4.7   2.2e-08   35.3   0.1   4.1   4   0   0   4   4   3   3 -
anno1.g11140.t2      -          PF13927_seed         -            3.3e-22   79.6   1.4   8.4e-07   30.3   0.1   4.4   4   0   0   4   4   4   3 -
anno1.g6137.t2       -          PF13927_seed         -            3.5e-22   79.5   0.2   6.4e-11   43.5   0.0   3.3   3   0   0   3   3   2   2 -
anno1.g23025.t1      -          PF13927_seed         -            4.9e-22   79.1   6.4   1.5e-11   45.5   0.2   6.2   6   0   0   6   6   3   2 -
anno1.g31119.t1      -          PF13927_seed         -            6.5e-22   78.7   4.7   2.1e-10   41.8   0.0   4.0   4   0   0   4   4   3   2 -
anno1.g31125.t1      -          PF13927_seed         -            8.4e-22   78.3   7.9   2.9e-11   44.6   0.1   4.3   4   0   0   4   4   3   2 -
anno1.g30457.t1      -          PF13927_seed         -            2.7e-21   76.7   7.9   6.6e-11   43.4   0.1   4.8   3   2   1   4   4   3   2 -
anno1.g12775.t1      -          PF13927_seed         -            9.4e-21   75.0   4.7   1.2e-09   39.4   0.2   4.4   4   0   0   4   4   3   2 -
anno1.g7077.t1       -          PF13927_seed         -            3.9e-20   73.0   5.7   2.2e-08   35.4   0.2   4.5   4   0   0   4   4   4   3 -
anno1.g7463.t1       -          PF13927_seed         -            4.7e-20   72.7  12.1     5e-11   43.8   0.1   5.1   4   1   0   4   4   3   3 -
anno1.g7531.t1       -          PF13927_seed         -            7.5e-20   72.1   9.9   1.4e-08   36.0   0.2   4.2   5   0   0   5   5   3   2 -
anno1.g31112.t2      -          PF13927_seed         -            1.9e-19   70.8   1.4   1.8e-14   54.9   0.1   3.3   2   1   0   2   2   2   2 -
anno1.g23621.t1      -          PF13927_seed         -            2.2e-19   70.6   0.7   1.7e-11   45.3   0.0   2.2   2   0   0   2   2   2   2 -
anno1.g12793.t1      -          PF13927_seed         -            2.5e-19   70.4   2.3   6.4e-13   49.9   0.0   2.4   2   1   0   2   2   2   2 -
anno1.g14671.t1      -          PF13927_seed         -            4.2e-19   69.7   0.4   3.3e-09   38.0   0.1   2.5   2   0   0   2   2   2   2 -
anno1.g31143.t2      -          PF13927_seed         -              1e-18   68.5  10.3   4.4e-09   37.6   0.4   4.2   3   1   0   3   3   3   3 -
anno1.g18905.t1      -          PF13927_seed         -            1.1e-18   68.3  13.3   3.2e-08   34.8   0.3   4.4   3   1   0   3   3   3   3 -
anno1.g22425.t1      -          PF13927_seed         -            1.8e-18   67.7   2.6   2.5e-14   54.4   0.3   2.4   2   0   0   2   2   2   2 -
anno1.g15453.t1      -          PF13927_seed         -              4e-18   66.5   0.1   3.2e-08   34.8   0.0   2.7   2   0   0   2   2   2   2 -
anno1.g31138.t1      -          PF13927_seed         -            5.3e-18   66.2   0.8   6.5e-15   56.3   0.3   2.8   3   0   0   3   3   2   1 -
anno1.g15651.t1      -          PF13927_seed         -            9.3e-18   65.4   0.0     3e-09   38.1   0.0   2.7   2   2   0   2   2   2   2 -
anno1.g31126.t1      -          PF13927_seed         -            1.7e-17   64.5   0.6     6e-16   59.6   0.1   2.8   2   0   0   2   2   2   1 -
anno1.g19571.t1      -          PF13927_seed         -            3.3e-17   63.6   0.3   3.3e-17   63.6   0.3   1.7   2   0   0   2   2   1   1 -
anno1.g15650.t1      -          PF13927_seed         -            3.7e-17   63.4   0.0   9.8e-09   36.5   0.0   2.5   2   1   0   2   2   2   2 -
anno1.g1810.t1       -          PF13927_seed         -              6e-17   62.8   2.4   3.4e-07   31.5   0.0   3.1   3   1   0   3   3   2   2 -
anno1.g3771.t1       -          PF13927_seed         -            1.2e-16   61.8   0.2   5.7e-16   59.6   0.0   2.3   2   0   0   2   2   1   1 -
anno1.g28501.t1      -          PF13927_seed         -            1.3e-16   61.7   0.0   2.9e-07   31.8   0.0   3.0   2   1   0   2   2   2   2 -
anno1.g22429.t1      -          PF13927_seed         -            1.9e-16   61.2   1.8   5.1e-16   59.8   0.4   2.3   2   1   0   2   2   1   1 -
anno1.g22959.t1      -          PF13927_seed         -            2.6e-16   60.8   0.9   1.2e-12   49.0   0.1   3.2   3   0   0   3   3   2   1 -
anno1.g30148.t1      -          PF13927_seed         -            3.2e-16   60.4   0.2   2.5e-06   28.7   0.0   2.9   3   0   0   3   3   2   2 -
