#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
g737.t1              -          PF00047_full         -                  0 2369.3   0.0   1.2e-17   65.3   0.0  73.2  18  14  53  73  73  73  71 -
g15993.t2            -          PF00047_full         -             6e-298  978.7 103.2   4.2e-12   47.2   0.4  28.7   5   3  23  29  29  29  27 -
g7730.t2             -          PF00047_full         -            2.3e-68  230.5   7.2     3e-15   57.4   0.0   8.4   3   3   4   8   8   8   8 -
g20181.t1            -          PF00047_full         -            3.8e-66  223.3   6.3   4.9e-14   53.5   0.1   5.1   1   1   4   5   5   5   5 -
g31139.t2            -          PF00047_full         -            9.8e-66  222.0  31.1   1.8e-14   54.9   1.8   8.1   2   1   6   8   8   7   7 -
g31139.t1            -          PF00047_full         -            1.7e-65  221.2  31.1     2e-14   54.8   1.8   8.0   2   1   6   8   8   7   7 -
g23619.t1            -          PF00047_full         -            1.5e-64  218.1  28.4   7.5e-17   62.7   3.0   7.1   1   1   6   7   7   7   6 -
g21826.t1            -          PF00047_full         -            2.6e-63  214.1   0.2   1.6e-16   61.6   0.1   4.6   1   1   3   4   4   4   4 -
g20184.t1            -          PF00047_full         -            7.6e-62  209.3   6.7   1.1e-12   49.1   0.1   5.1   1   1   4   5   5   5   5 -
g31133.t1            -          PF00047_full         -            5.3e-60  203.3  21.6   5.4e-13   50.1   0.0   7.0   1   1   5   7   7   6   6 -
g9052.t1             -          PF00047_full         -            2.1e-59  201.3  24.3   3.4e-14   54.0   0.5   6.7   2   1   4   6   6   6   5 -
g8168.t1             -          PF00047_full         -            4.3e-59  200.3  35.6   5.4e-10   40.3   0.0  12.7   2   2   8  10  10  10   9 -
g22107.t1            -          PF00047_full         -            5.5e-58  196.7  20.6   6.6e-12   46.6   0.0   6.3   3   1   4   7   7   5   5 -
g7177.t1             -          PF00047_full         -            7.2e-58  196.3   1.2   2.6e-13   51.1   0.0   6.4   1   1   5   6   6   6   6 -
g31517.t1            -          PF00047_full         -            3.8e-57  194.0  17.3     2e-11   45.0   0.1   8.5   2   2   5   8   8   8   6 -
g23625.t1            -          PF00047_full         -            5.2e-57  193.5  48.5   5.7e-13   50.0   0.3   8.7   1   1   7   8   8   8   7 -
g23625.t2            -          PF00047_full         -            8.8e-57  192.8  48.9   7.2e-13   49.7   0.3   8.7   1   1   7   8   8   8   7 -
g6540.t1             -          PF00047_full         -            5.7e-56  190.2  18.0   2.3e-12   48.1   0.1   7.1   3   1   4   7   7   7   5 -
g31140.t1            -          PF00047_full         -            1.5e-53  182.2  22.5     4e-12   47.3   0.2   5.2   1   1   4   5   5   5   5 -
g22344.t2            -          PF00047_full         -            2.7e-51  174.9  29.5   8.1e-16   59.3   0.2   5.4   3   1   3   6   6   4   4 -
g22344.t1            -          PF00047_full         -            3.6e-51  174.5  29.5   8.6e-16   59.2   0.2   5.4   3   1   3   6   6   4   4 -
g7727.t1             -          PF00047_full         -            6.6e-51  173.6   7.5   1.1e-15   58.8   0.1   6.5   3   3   3   6   6   6   6 -
g19890.t1            -          PF00047_full         -            1.7e-49  169.1   0.1   1.1e-14   55.6   0.1   4.6   1   1   3   4   4   4   4 -
g8324.t1             -          PF00047_full         -            9.8e-49  166.6   6.0   3.1e-15   57.4   0.1   6.4   2   2   4   6   6   6   5 -
g7033.t1             -          PF00047_full         -            1.5e-48  166.0   8.0   1.2e-11   45.7   0.0   4.5   1   1   3   4   4   4   4 -
g7319.t2             -          PF00047_full         -            2.8e-47  161.8   8.0   5.4e-14   53.3   0.8   4.1   1   1   3   4   4   4   4 -
g7319.t1             -          PF00047_full         -              4e-47  161.3   7.9   6.2e-14   53.1   0.8   4.1   1   1   3   4   4   4   4 -
g5658.t2             -          PF00047_full         -            7.3e-47  160.5   7.0   1.1e-11   45.8   0.2   6.4   3   1   4   7   7   5   4 -
g8169.t1             -          PF00047_full         -            2.8e-46  158.6  21.6   1.4e-11   45.5   0.0   8.8   3   2   4   7   7   7   5 -
g7724.t1             -          PF00047_full         -            3.8e-46  158.1   0.6     1e-10   42.7   0.0   6.5   2   2   4   6   6   6   6 -
g24451.t1            -          PF00047_full         -            6.2e-46  157.4   3.0   6.6e-15   56.3   0.1   3.7   1   1   2   3   3   3   3 -
g24451.t2            -          PF00047_full         -              1e-45  156.8   3.0   7.7e-15   56.1   0.1   3.6   1   1   2   3   3   3   3 -
g3423.t1             -          PF00047_full         -            1.6e-45  156.1   2.2   1.6e-12   48.6   0.1   4.4   1   1   3   4   4   4   4 -
g31137.t1            -          PF00047_full         -            4.8e-45  154.5  22.2   3.8e-13   50.6   0.4   5.5   2   1   4   6   6   5   5 -
g25544.t1            -          PF00047_full         -            2.4e-44  152.3   2.9   3.1e-13   50.9   0.0   4.3   3   1   1   4   4   4   4 -
g11139.t1            -          PF00047_full         -            2.8e-44  152.0  14.6   1.3e-07   32.5   0.0   6.1   2   2   3   6   6   6   6 -
g31028.t1            -          PF00047_full         -            2.2e-43  149.1   3.4   2.7e-14   54.4   0.1   3.5   1   1   2   3   3   3   3 -
g8166.t1             -          PF00047_full         -            3.4e-43  148.5   8.8   2.5e-08   34.9   0.0   7.6   2   2   5   7   7   7   6 -
g4739.t1             -          PF00047_full         -            4.7e-43  148.1  11.9   3.1e-13   50.9   0.9   4.1   1   1   3   4   4   4   4 -
g12789.t2            -          PF00047_full         -              1e-42  147.0  40.6   1.6e-12   48.5   0.6   8.0   1   1   6   7   7   7   4 -
g18488.t1            -          PF00047_full         -            3.6e-42  145.2   4.3   5.4e-16   59.9   0.1   3.3   1   1   2   3   3   3   3 -
g12789.t1            -          PF00047_full         -            5.7e-42  144.5  33.7   1.6e-12   48.5   0.6   7.0   1   1   5   6   6   6   4 -
g31135.t1            -          PF00047_full         -            1.3e-41  143.4  11.5   6.2e-17   62.9   0.2   4.3   2   1   3   5   5   4   3 -
g3420.t1             -          PF00047_full         -            2.8e-41  142.2   1.9   3.1e-11   44.4   0.0   4.4   1   1   3   4   4   4   4 -
g8322.t2             -          PF00047_full         -            8.2e-41  140.8   3.1   3.6e-17   63.7   0.2   5.2   2   2   3   5   5   5   3 -
g31025.t1            -          PF00047_full         -              9e-41  140.6   3.0     2e-12   48.2   0.0   3.4   1   1   2   3   3   3   3 -
g23623.t1            -          PF00047_full         -            9.9e-41  140.5  36.8   1.4e-11   45.5   0.2   7.0   1   1   5   6   6   6   5 -
g22410.t1            -          PF00047_full         -            1.2e-40  140.2   8.9   2.4e-12   48.0   0.6   4.2   1   1   3   4   4   4   4 -
g8322.t1             -          PF00047_full         -            1.4e-40  140.0   5.1   1.8e-17   64.6   0.7   5.2   2   2   3   5   5   5   3 -
g9908.t1             -          PF00047_full         -            3.7e-39  135.4   7.3   1.4e-11   45.4   0.0   5.2   2   1   3   5   5   5   4 -
g8167.t1             -          PF00047_full         -            4.1e-39  135.2  15.4   7.6e-08   33.3   0.0   8.5   2   2   5   7   7   7   6 -
g22036.t1            -          PF00047_full         -            1.4e-38  133.5   0.8   5.3e-15   56.6   0.0   3.3   1   1   2   3   3   3   3 -
g13388.t1            -          PF00047_full         -            4.7e-38  131.8  12.8   4.6e-17   63.3   0.6   3.3   1   1   2   3   3   3   3 -
g6129.t1             -          PF00047_full         -            1.1e-37  130.6   4.5   7.8e-13   49.6   0.2   3.4   2   1   1   3   3   3   3 -
g30136.t1            -          PF00047_full         -            1.1e-36  127.3  36.2   1.4e-12   48.8   1.0   5.5   1   1   4   5   5   5   4 -
g20649.t2            -          PF00047_full         -            1.5e-36  126.9   0.1   2.2e-13   51.4   0.0   3.6   1   1   2   3   3   3   3 -
g9905.t1             -          PF00047_full         -            1.9e-36  126.5   4.4   8.5e-13   49.5   0.0   4.1   1   1   3   4   4   4   4 -
g12296.t1            -          PF00047_full         -            3.5e-36  125.7   1.1   6.9e-14   53.0   0.0   4.4   1   1   3   4   4   4   3 -
g15563.t1            -          PF00047_full         -            3.7e-36  125.6   1.8   5.1e-14   53.4   0.1   3.5   1   1   2   3   3   3   3 -
g23382.t1            -          PF00047_full         -              1e-35  124.2   0.5   5.6e-12   46.8   0.0   3.4   1   1   2   3   3   3   3 -
g20821.t2            -          PF00047_full         -              1e-35  124.1   5.3   5.1e-12   46.9   0.0   4.4   4   1   1   5   5   4   4 -
g23974.t1            -          PF00047_full         -            1.2e-35  123.9   0.0   9.3e-11   42.8   0.0   3.3   1   1   2   3   3   3   3 -
g367.t2              -          PF00047_full         -            1.5e-35  123.6   1.6   1.7e-12   48.5   0.0   3.2   2   1   1   3   3   3   3 -
g373.t1              -          PF00047_full         -            2.7e-35  122.8   1.2   1.4e-11   45.5   0.0   3.3   2   1   1   3   3   3   3 -
g5658.t1             -          PF00047_full         -            3.8e-35  122.3   3.1     1e-11   45.9   0.2   5.4   3   1   3   6   6   4   3 -
g9898.t1             -          PF00047_full         -            5.1e-35  121.9   5.8   4.5e-11   43.8   0.0   5.3   2   1   3   5   5   5   4 -
g20182.t1            -          PF00047_full         -            9.9e-35  120.9   6.4   3.5e-14   53.9   0.6   3.2   1   1   2   3   3   3   3 -
g367.t1              -          PF00047_full         -            1.2e-34  120.7   0.9   3.2e-12   47.6   0.0   3.3   2   1   1   3   3   3   3 -
g8812.t2             -          PF00047_full         -              3e-34  119.4   3.1   7.2e-14   52.9   0.6   3.8   2   1   2   4   4   3   3 -
g8812.t1             -          PF00047_full         -            3.8e-34  119.0   3.0   9.1e-14   52.6   1.1   3.8   2   1   1   3   3   3   3 -
g8170.t1             -          PF00047_full         -            6.2e-34  118.3   4.2   1.7e-06   28.9   0.1   5.0   2   1   2   5   5   5   5 -
g7564.t1             -          PF00047_full         -            8.2e-34  117.9   0.3   1.5e-13   51.9   0.1   3.2   2   1   1   3   3   3   3 -
g30147.t1            -          PF00047_full         -            9.6e-34  117.7  10.5   1.1e-11   45.9   1.2   4.4   1   1   3   4   4   4   4 -
g6143.t1             -          PF00047_full         -            1.3e-33  117.3   1.1   2.9e-10   41.2   0.1   3.5   2   1   1   3   3   3   3 -
g28462.t1            -          PF00047_full         -            1.4e-33  117.2   5.8   4.8e-11   43.8   0.1   3.5   2   1   1   3   3   3   3 -
g371.t2              -          PF00047_full         -            5.1e-33  115.4   0.6   1.9e-10   41.8   0.0   3.3   1   1   2   3   3   3   3 -
g371.t1              -          PF00047_full         -            5.7e-33  115.2   0.6     2e-10   41.7   0.0   3.3   1   1   2   3   3   3   3 -
g23972.t3            -          PF00047_full         -              9e-33  114.5   4.0   2.2e-11   44.9   1.0   3.4   1   1   2   3   3   3   3 -
g6079.t1             -          PF00047_full         -            2.1e-32  113.3   0.4   6.4e-15   56.4   0.1   2.2   2   0   0   2   2   2   2 -
g369.t1              -          PF00047_full         -            2.4e-32  113.1   2.3   1.8e-10   41.8   0.0   3.4   1   1   2   3   3   3   3 -
g23967.t1            -          PF00047_full         -            2.6e-32  113.1   1.0   4.2e-11   43.9   0.1   3.4   1   1   2   3   3   3   3 -
g22960.t1            -          PF00047_full         -            4.6e-32  112.2   8.5   1.4e-10   42.3   0.2   5.7   3   2   1   5   5   5   4 -
g3380.t1             -          PF00047_full         -            5.5e-32  112.0   5.2   1.1e-15   58.9   0.9   2.3   1   1   1   2   2   2   2 -
g14455.t1            -          PF00047_full         -            1.6e-31  110.5  14.7   6.7e-15   56.3   0.3   3.5   1   1   2   3   3   3   2 -
g20033.t1            -          PF00047_full         -              2e-31  110.2  24.3   1.6e-09   38.8   0.1   6.8   1   1   4   6   6   6   4 -
g23972.t2            -          PF00047_full         -            4.9e-31  108.9   9.3   2.6e-11   44.6   0.9   3.7   2   1   2   4   4   3   3 -
g7728.t1             -          PF00047_full         -            6.8e-31  108.4   2.1     6e-08   33.6   0.0   4.2   3   1   1   4   4   4   4 -
g9902.t1             -          PF00047_full         -            6.8e-31  108.4  22.7   9.5e-09   36.3   0.0   5.5   1   1   4   5   5   5   5 -
g15645.t1            -          PF00047_full         -            8.7e-31  108.1   9.8   5.1e-17   63.2   0.6   3.4   1   1   1   3   3   3   3 -
g3943.t1             -          PF00047_full         -            2.1e-30  106.9   3.0   6.5e-15   56.4   0.1   3.0   1   1   1   3   3   2   2 -
g549.t2              -          PF00047_full         -            2.8e-30  106.4   0.2   2.6e-11   44.6   0.0   4.5   1   1   3   4   4   4   4 -
g549.t3              -          PF00047_full         -              3e-30  106.3   0.2   2.6e-11   44.6   0.0   4.5   1   1   3   4   4   4   4 -
g549.t1              -          PF00047_full         -            3.2e-30  106.2   0.2   2.7e-11   44.6   0.0   4.5   1   1   3   4   4   4   4 -
g385.t1              -          PF00047_full         -            3.7e-30  106.0   7.5   2.4e-09   38.2   0.0   3.8   2   1   2   4   4   3   3 -
g19060.t1            -          PF00047_full         -            6.4e-30  105.3   0.5     4e-12   47.3   0.0   3.2   1   1   2   3   3   3   3 -
g22439.t1            -          PF00047_full         -            7.3e-30  105.1   2.5   5.9e-10   40.2   0.8   5.4   3   2   1   4   4   4   4 -
g23971.t1            -          PF00047_full         -            9.2e-30  104.7   0.1   7.8e-10   39.8   0.0   3.4   1   1   2   3   3   3   3 -
g30300.t1            -          PF00047_full         -            1.1e-29  104.5   2.3   2.3e-09   38.3   0.9   4.1   2   2   2   4   4   3   3 -
g8201.t1             -          PF00047_full         -            1.1e-29  104.5   2.9   7.7e-16   59.4   0.0   3.4   1   1   2   3   3   3   3 -
g9987.t1             -          PF00047_full         -            1.5e-29  104.0   0.1   1.8e-11   45.1   0.0   3.3   1   1   2   3   3   3   3 -
g23973.t1            -          PF00047_full         -            1.9e-29  103.7   7.7   8.6e-12   46.2   0.9   3.6   2   1   2   4   4   3   3 -
g30139.t1            -          PF00047_full         -            4.8e-29  102.4  20.4   2.6e-10   41.4   1.5   3.5   1   1   2   3   3   3   3 -
g23781.t2            -          PF00047_full         -            5.2e-29  102.3   8.6   1.9e-13   51.6   0.7   3.2   1   1   2   3   3   3   3 -
g15646.t1            -          PF00047_full         -            9.9e-29  101.4   9.3   2.1e-17   64.5   0.6   3.4   1   1   2   3   3   3   3 -
g8175.t1             -          PF00047_full         -            1.7e-28  100.6   7.1   2.8e-06   28.2   0.0   6.4   2   2   4   6   6   6   5 -
g31031.t1            -          PF00047_full         -            2.1e-28  100.3   3.0   4.6e-13   50.3   0.1   3.3   2   1   1   3   3   3   3 -
g6153.t1             -          PF00047_full         -            2.8e-28   99.9   0.1     4e-11   44.0   0.0   3.5   1   1   2   3   3   3   3 -
g20136.t1            -          PF00047_full         -            3.6e-28   99.6  15.1     5e-12   47.0   0.0   3.5   1   1   2   3   3   3   3 -
g20136.t3            -          PF00047_full         -            3.7e-28   99.5  15.1     5e-12   46.9   0.0   3.5   1   1   2   3   3   3   3 -
g20136.t2            -          PF00047_full         -            3.8e-28   99.5  15.1   5.1e-12   46.9   0.0   3.5   1   1   2   3   3   3   3 -
g15645.t2            -          PF00047_full         -            6.4e-28   98.7   2.9   1.1e-17   65.4   0.3   2.4   1   1   1   2   2   2   2 -
g7755.t1             -          PF00047_full         -            8.2e-28   98.4   8.7   1.7e-08   35.4   0.0   5.4   3   2   1   5   5   5   4 -
g23623.t2            -          PF00047_full         -            8.9e-28   98.3  39.1   2.2e-10   41.6   2.7   7.1   1   1   5   6   6   6   4 -
g3441.t1             -          PF00047_full         -            1.3e-27   97.7  29.4   0.00035   21.4   0.0  11.9   7   4   5  12  12  11   5 -
g20649.t1            -          PF00047_full         -            2.5e-27   96.8   0.5   4.3e-10   40.6   0.0   3.7   1   1   2   3   3   3   3 -
g31029.t1            -          PF00047_full         -              4e-27   96.2   0.3   7.8e-13   49.6   0.0   2.0   1   1   1   2   2   2   2 -
g11140.t2            -          PF00047_full         -            8.5e-27   95.1   2.4   3.3e-06   28.0   0.0   4.1   1   1   1   4   4   4   4 -
g9900.t1             -          PF00047_full         -            1.5e-26   94.3  18.5   2.5e-10   41.4   0.1   4.2   1   1   3   4   4   4   4 -
g9900.t2             -          PF00047_full         -            1.5e-26   94.3  18.5   2.6e-10   41.4   0.1   4.2   1   1   3   4   4   4   4 -
g15992.t1            -          PF00047_full         -            1.6e-26   94.2   0.0   4.4e-12   47.1   0.0   2.1   2   0   0   2   2   2   2 -
g27451.t2            -          PF00047_full         -            2.2e-26   93.7  15.7     9e-14   52.6   0.5   3.8   3   2   1   4   4   3   3 -
g20210.t1            -          PF00047_full         -            2.7e-26   93.5   7.7   2.5e-09   38.2   0.2   3.5   1   1   2   3   3   3   3 -
g25466.t4            -          PF00047_full         -            4.3e-26   92.8  27.7   6.6e-08   33.5   0.5   5.8   1   1   4   5   5   5   5 -
g23968.t1            -          PF00047_full         -            4.3e-26   92.8   1.2   1.8e-09   38.6   0.0   3.5   1   1   2   3   3   3   3 -
g15643.t1            -          PF00047_full         -            4.9e-26   92.6   6.3   1.7e-14   55.0   0.0   3.6   2   2   1   3   3   3   3 -
g25466.t3            -          PF00047_full         -            5.6e-26   92.4  30.2   5.6e-08   33.7   0.6   5.7   1   1   4   5   5   5   5 -
g25466.t2            -          PF00047_full         -            6.5e-26   92.2  29.8   6.2e-08   33.6   0.5   5.7   1   1   4   5   5   5   5 -
g15646.t2            -          PF00047_full         -            7.3e-26   92.0   2.7   1.4e-17   65.0   0.7   2.4   1   1   1   2   2   2   2 -
g25466.t1            -          PF00047_full         -            9.9e-26   91.6  29.9   6.3e-08   33.6   0.5   5.7   1   1   4   5   5   5   5 -
g9899.t1             -          PF00047_full         -            8.8e-25   88.5  14.2     6e-10   40.2   0.2   4.2   1   1   3   4   4   4   4 -
g10229.t1            -          PF00047_full         -            1.1e-24   88.2   0.7   3.4e-10   41.0   0.1   3.6   3   1   0   3   3   3   2 -
g10218.t1            -          PF00047_full         -            1.4e-24   87.8   4.0   4.3e-11   43.9   0.2   3.7   2   1   1   3   3   3   2 -
g27808.t2            -          PF00047_full         -            1.5e-24   87.8   1.4   4.1e-13   50.5   0.7   2.9   1   1   1   2   2   2   2 -
g27808.t1            -          PF00047_full         -            1.6e-24   87.7   1.4   4.2e-13   50.5   0.7   2.9   1   1   1   2   2   2   2 -
g29741.t1            -          PF00047_full         -            1.7e-24   87.6   2.2   1.1e-11   45.9   0.2   2.3   1   1   1   2   2   2   2 -
g23626.t1            -          PF00047_full         -            2.4e-24   87.1  25.8   2.2e-09   38.3   0.2   6.1   2   1   4   6   6   5   3 -
g29742.t1            -          PF00047_full         -              3e-24   86.8   0.0   4.1e-13   50.5   0.0   2.5   1   1   1   2   2   2   2 -
g25746.t1            -          PF00047_full         -            1.5e-23   84.5   2.6   5.8e-09   37.0   0.4   3.4   1   1   2   3   3   3   3 -
g7077.t2             -          PF00047_full         -            1.6e-23   84.4   8.5   1.2e-07   32.7   1.4   4.1   2   1   2   4   4   4   4 -
g7077.t1             -          PF00047_full         -            1.9e-23   84.2   8.6   1.2e-07   32.7   1.4   4.1   2   1   2   4   4   4   4 -
g18544.t2            -          PF00047_full         -            2.4e-23   83.8  10.8   2.8e-10   41.2   0.8   4.6   3   1   1   4   4   4   3 -
g30622.t1            -          PF00047_full         -            2.7e-23   83.7   0.1   3.8e-11   44.1   0.1   2.1   1   1   1   2   2   2   2 -
g23781.t1            -          PF00047_full         -            4.1e-23   83.1  13.6   5.2e-13   50.2   0.8   4.0   1   1   2   3   3   3   2 -
g7147.t2             -          PF00047_full         -            4.9e-23   82.8   3.2   1.7e-07   32.2   0.0   3.5   2   1   1   3   3   3   3 -
g18544.t1            -          PF00047_full         -              5e-23   82.8  10.9   2.2e-10   41.6   0.7   4.6   3   1   1   4   4   4   3 -
g7147.t3             -          PF00047_full         -            5.8e-23   82.6   3.9   1.7e-07   32.2   0.0   3.5   2   1   1   3   3   3   3 -
g31699.t1            -          PF00047_full         -            1.2e-22   81.5   2.3   2.7e-12   47.8   0.3   2.6   1   1   1   2   2   2   2 -
g14671.t1            -          PF00047_full         -            1.2e-22   81.5   2.2   3.2e-10   41.1   1.0   2.1   2   0   0   2   2   2   2 -
g6137.t2             -          PF00047_full         -            1.4e-22   81.3   8.8   3.7e-11   44.1   0.7   2.7   2   1   1   3   3   2   2 -
g6137.t1             -          PF00047_full         -            1.4e-22   81.3   8.8   3.7e-11   44.1   0.7   2.7   2   1   1   3   3   2   2 -
g12778.t1            -          PF00047_full         -            1.6e-22   81.1   7.8   3.4e-12   47.5   0.1   4.1   1   1   2   3   3   3   2 -
g15642.t1            -          PF00047_full         -            4.2e-22   79.8   9.4   1.1e-14   55.6   0.2   3.8   2   2   1   3   3   3   2 -
g14433.t1            -          PF00047_full         -            4.3e-22   79.7  16.3   8.1e-12   46.3   1.1   2.9   2   1   1   3   3   2   2 -
g12732.t1            -          PF00047_full         -            4.4e-22   79.7   0.0   3.7e-10   40.8   0.0   2.4   1   1   1   2   2   2   2 -
g30136.t2            -          PF00047_full         -            4.6e-22   79.7  18.7   2.7e-09   38.0   0.5   3.5   1   1   2   3   3   3   3 -
g15454.t2            -          PF00047_full         -              6e-22   79.3   3.4   3.3e-07   31.2   0.0   3.6   2   1   1   3   3   3   3 -
g15454.t1            -          PF00047_full         -            6.1e-22   79.3   3.4   3.3e-07   31.2   0.0   3.6   2   1   1   3   3   3   3 -
g15643.t2            -          PF00047_full         -            6.1e-22   79.2   0.5     6e-15   56.5   0.0   2.6   2   1   0   2   2   2   2 -
g27451.t1            -          PF00047_full         -            8.3e-22   78.8   8.7   4.9e-14   53.5   0.4   2.6   2   1   1   3   3   2   2 -
g27838.t1            -          PF00047_full         -            1.1e-21   78.4  11.8   6.1e-12   46.7   0.2   3.2   3   0   0   3   3   2   2 -
g24587.t1            -          PF00047_full         -            1.1e-21   78.4  27.1   1.5e-10   42.1   0.2   6.2   1   1   3   5   5   5   4 -
g4157.t1             -          PF00047_full         -            2.1e-21   77.5  10.4   3.5e-08   34.4   0.4   5.3   3   1   2   5   5   4   3 -
g24599.t1            -          PF00047_full         -            2.2e-21   77.4   8.3     9e-11   42.9   0.3   4.1   1   1   2   3   3   3   2 -
g1174.t1             -          PF00047_full         -            2.2e-21   77.4   1.4     2e-14   54.7   0.1   2.3   1   1   1   2   2   2   2 -
g9901.t2             -          PF00047_full         -            3.7e-21   76.7   4.6   4.2e-10   40.7   0.1   3.4   1   1   2   3   3   3   3 -
g9901.t1             -          PF00047_full         -            4.9e-21   76.3   4.6   5.3e-10   40.3   0.1   3.4   1   1   2   3   3   3   3 -
g7463.t1             -          PF00047_full         -              1e-20   75.3  12.1   5.1e-12   46.9   0.5   3.7   1   1   2   3   3   3   3 -
g16712.t1            -          PF00047_full         -            1.7e-20   74.6   5.9   1.9e-14   54.8   3.6   4.4   3   1   1   4   4   2   2 -
g22426.t1            -          PF00047_full         -            2.4e-20   74.1  12.7   1.6e-12   48.6   0.6   3.8   3   1   1   4   4   2   2 -
g22426.t2            -          PF00047_full         -            2.4e-20   74.0  12.5   1.7e-12   48.4   0.6   3.8   3   1   1   4   4   2   2 -
g27809.t1            -          PF00047_full         -            2.5e-20   74.0  12.7   3.2e-10   41.1   0.3   3.7   2   1   1   3   3   3   2 -
g12776.t1            -          PF00047_full         -            2.9e-20   73.8  12.6   2.9e-10   41.2   0.2   4.5   3   1   1   4   4   4   2 -
g28501.t1            -          PF00047_full         -            6.7e-20   72.6   0.0   4.2e-11   43.9   0.0   2.5   2   0   0   2   2   2   2 -
g1547.t1             -          PF00047_full         -            7.3e-20   72.5   0.0   6.4e-09   36.8   0.0   2.9   1   1   1   2   2   2   2 -
g30457.t1            -          PF00047_full         -            1.1e-19   71.9   4.9   2.2e-08   35.0   0.0   4.3   2   1   2   4   4   4   3 -
g31138.t1            -          PF00047_full         -            1.8e-19   71.2   0.8     5e-14   53.5   0.1   2.7   2   1   1   3   3   2   2 -
g22424.t1            -          PF00047_full         -            3.8e-19   70.1   0.1   6.6e-11   43.3   0.1   3.0   1   1   1   2   2   2   2 -
g24595.t1            -          PF00047_full         -              7e-19   69.3  17.7   2.2e-09   38.3   0.5   4.2   2   1   1   4   4   3   2 -
g7547.t2             -          PF00047_full         -            8.1e-19   69.1  31.2   1.3e-07   32.6   0.1   6.3   1   1   4   5   5   5   4 -
g11140.t1            -          PF00047_full         -            1.8e-18   68.0   2.6   1.5e-05   25.9   0.0   3.1   1   1   1   3   3   3   3 -
g7725.t2             -          PF00047_full         -            1.9e-18   67.8   8.1   7.4e-06   26.8   0.0   5.3   2   2   3   5   5   5   3 -
g7725.t1             -          PF00047_full         -            2.7e-18   67.3   9.1     7e-06   26.9   0.0   5.3   2   2   3   5   5   5   3 -
g6721.t1             -          PF00047_full         -            8.5e-18   65.7  25.4   2.5e-07   31.6   1.1   6.8   4   2   2   6   6   5   2 -
g4163.t1             -          PF00047_full         -            9.9e-18   65.5   0.0   1.4e-08   35.7   0.0   2.5   1   1   1   2   2   2   2 -
