#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
g20980.t1            -          PF13895_full         -                  0 2829.4   0.0     3e-19   70.3   0.1  78.7  10   5  65  79  79  78  76 -
g24918.t1            -          PF13895_full         -            3.9e-77  258.6  29.0   9.4e-19   68.7   0.8   8.3   3   2   5   8   8   7   7 -
g24919.t1            -          PF13895_full         -            5.5e-75  251.6  36.0   1.2e-14   55.4   1.0   6.4   1   1   5   6   6   6   6 -
g28242.t1            -          PF13895_full         -            8.7e-74  247.7  33.6     5e-16   59.8   0.0   7.3   2   1   6   8   8   7   6 -
g25722.t1            -          PF13895_full         -            1.3e-73  247.2  11.6     1e-13   52.2   0.1   9.0   1   1   6   7   7   7   7 -
g28491.t1            -          PF13895_full         -            6.1e-73  245.0  48.9   7.7e-12   46.2   0.1   8.3   2   2   6   8   8   8   8 -
g28491.t2            -          PF13895_full         -            6.6e-69  231.9  41.9   4.6e-12   46.9   4.1   7.4   1   1   6   7   7   7   7 -
g21096.t1            -          PF13895_full         -            1.7e-67  227.3  50.3   1.3e-12   48.7   2.0   7.6   1   1   6   7   7   7   7 -
g20497.t1            -          PF13895_full         -            4.3e-67  225.9  46.4   2.2e-16   61.0   2.1   7.6   3   1   5   8   8   6   6 -
g30729.t1            -          PF13895_full         -            1.7e-66  224.0  35.9   5.1e-19   69.5   0.7   5.2   1   1   4   5   5   5   5 -
g2206.t1             -          PF13895_full         -            1.8e-66  223.9  10.4   1.4e-12   48.6   0.0   9.9   4   4   5   9   9   9   6 -
g18060.t1            -          PF13895_full         -            3.7e-66  222.9  39.6   2.3e-10   41.4   0.0  14.1  10   5   5  16  16  10   9 -
g10402.t1            -          PF13895_full         -            1.5e-64  217.6  13.4   5.7e-14   53.1   0.4   6.2   2   2   4   6   6   6   6 -
g24917.t2            -          PF13895_full         -            1.6e-62  211.1  23.9   1.7e-12   48.3   1.0   7.3   2   1   5   7   7   6   6 -
g24917.t1            -          PF13895_full         -            1.9e-62  210.8  23.4   1.7e-12   48.3   1.1   6.7   1   1   5   6   6   6   6 -
g18871.t1            -          PF13895_full         -            7.8e-60  202.3   0.3   2.8e-14   54.1   0.1   4.3   2   1   2   4   4   4   4 -
g1563.t1             -          PF13895_full         -            5.9e-58  196.2  47.0   8.3e-15   55.8   0.7   7.1   4   1   4   8   8   5   5 -
g21096.t2            -          PF13895_full         -            4.3e-57  193.4  44.1     1e-12   49.0   1.2   6.5   1   1   5   6   6   6   6 -
g95.t1               -          PF13895_full         -            1.6e-56  191.5   0.3   2.1e-15   57.7   0.0   4.4   1   1   3   4   4   4   4 -
g24914.t2            -          PF13895_full         -            2.8e-56  190.8  23.6   6.6e-15   56.2   5.9   6.1   2   2   4   6   6   6   6 -
g15145.t1            -          PF13895_full         -            7.9e-54  182.8  16.6   3.3e-19   70.1   2.7   5.2   2   2   3   5   5   5   5 -
g28582.t1            -          PF13895_full         -            6.8e-52  176.5   7.1   1.9e-12   48.2   0.0   4.7   2   2   2   4   4   4   4 -
g24417.t1            -          PF13895_full         -            4.5e-51  173.8   9.5   1.2e-19   71.5   1.8   4.3   3   1   1   4   4   4   4 -
g23406.t1            -          PF13895_full         -            8.6e-51  172.9  13.8   5.8e-15   56.3   0.4   4.4   1   1   3   4   4   4   4 -
g23406.t2            -          PF13895_full         -            8.7e-51  172.9  13.8   5.8e-15   56.3   0.4   4.4   1   1   3   4   4   4   4 -
g10917.t1            -          PF13895_full         -            1.5e-50  172.1   5.9   5.9e-14   53.1   0.0   6.2   2   1   3   6   6   5   5 -
g19287.t1            -          PF13895_full         -            1.5e-50  172.1  24.7   4.5e-16   59.9   4.1   4.1   1   1   3   4   4   4   4 -
g25069.t1            -          PF13895_full         -            2.7e-49  168.0  11.4   5.7e-10   40.1   0.0   9.0   3   1   5   9   9   7   6 -
g28079.t1            -          PF13895_full         -            1.3e-47  162.6  16.2   7.3e-15   56.0   0.4   4.4   1   1   3   4   4   4   4 -
g24914.t1            -          PF13895_full         -            1.3e-47  162.5  22.8   4.6e-15   56.7   6.0   5.1   2   2   3   5   5   5   5 -
g19835.t1            -          PF13895_full         -            1.7e-47  162.2  29.0   5.7e-14   53.1   4.1   4.0   1   1   3   4   4   4   4 -
g23414.t1            -          PF13895_full         -            1.8e-47  162.1  21.8   7.2e-16   59.3   2.1   4.3   1   1   3   4   4   4   4 -
g25721.t2            -          PF13895_full         -            3.4e-47  161.2  16.9   3.1e-13   50.7   0.2   5.1   1   1   4   5   5   5   4 -
g25718.t1            -          PF13895_full         -            4.8e-47  160.7   9.5   8.7e-15   55.8   0.1   5.1   2   2   3   5   5   5   5 -
g23414.t2            -          PF13895_full         -            8.1e-47  160.0  20.1     7e-15   56.1   1.0   4.3   1   1   3   4   4   4   4 -
g30115.t1            -          PF13895_full         -            1.1e-46  159.5  36.6   4.6e-13   50.1   5.8   4.4   1   1   3   4   4   4   4 -
g30889.t1            -          PF13895_full         -            1.5e-46  159.1   7.5     6e-13   49.8   0.3   4.2   2   2   2   4   4   4   4 -
g27508.t1            -          PF13895_full         -            1.8e-46  158.9  25.6   5.5e-08   33.6   0.2  10.3   4   2   4   9   9   9   8 -
g20629.t1            -          PF13895_full         -            2.8e-46  158.2  14.8   1.9e-18   67.7   2.7   3.1   1   1   2   3   3   3   3 -
g2209.t1             -          PF13895_full         -            6.1e-46  157.1  25.3   4.9e-12   46.8   0.6   9.2   4   4   5   9   9   9   5 -
g16768.t1            -          PF13895_full         -            6.8e-46  157.0  12.7   8.9e-14   52.5   4.6   4.2   1   1   3   4   4   4   4 -
g30285.t1            -          PF13895_full         -            1.2e-45  156.2  12.4   2.1e-13   51.2   0.2   4.6   1   1   3   4   4   4   4 -
g98.t1               -          PF13895_full         -            1.6e-45  155.7   5.6   9.3e-13   49.2   0.2   4.3   1   1   3   4   4   4   4 -
g17677.t2            -          PF13895_full         -            1.9e-45  155.5   4.9   2.6e-18   67.2   0.0   3.6   1   1   3   4   4   3   3 -
g30044.t1            -          PF13895_full         -            2.1e-45  155.4   3.9   9.8e-13   49.1   0.0   4.5   2   1   2   4   4   4   4 -
g17677.t1            -          PF13895_full         -            5.3e-45  154.1   4.6     4e-18   66.6   0.0   3.7   1   1   2   3   3   3   3 -
g20641.t1            -          PF13895_full         -            6.3e-45  153.8   0.8   4.1e-14   53.6   0.0   4.7   1   1   3   4   4   4   4 -
g23230.t1            -          PF13895_full         -            1.1e-43  149.8   6.1   2.1e-21   77.3   0.9   2.7   1   1   1   2   2   2   2 -
g23230.t2            -          PF13895_full         -            9.1e-43  146.8   9.6   5.2e-21   76.0   0.6   2.7   2   0   0   2   2   2   2 -
g26403.t2            -          PF13895_full         -            1.4e-42  146.2  25.9   9.4e-15   55.6   3.0   5.1   1   1   4   5   5   5   5 -
g7897.t1             -          PF13895_full         -            3.1e-42  145.1  11.5   1.3e-17   65.0   5.5   3.2   1   1   2   3   3   3   3 -
g8418.t1             -          PF13895_full         -            1.2e-41  143.1  10.1   1.8e-16   61.3   3.6   3.2   1   1   2   3   3   3   3 -
g17352.t1            -          PF13895_full         -            1.3e-41  143.0   5.3     1e-14   55.6   0.1   3.2   1   1   2   3   3   3   3 -
g17404.t1            -          PF13895_full         -            4.5e-41  141.3  21.9   4.8e-10   40.3   5.8   5.6   1   1   5   6   6   5   5 -
g18204.t1            -          PF13895_full         -            1.3e-40  139.8   3.0   4.7e-11   43.6   0.0   5.6   2   2   2   5   5   5   4 -
g8419.t1             -          PF13895_full         -            2.1e-40  139.1   9.6   7.7e-15   55.9   0.1   3.2   1   1   2   3   3   3   3 -
g8420.t1             -          PF13895_full         -            2.9e-40  138.6  11.3   1.7e-15   58.1   0.2   3.2   1   1   2   3   3   3   3 -
g6183.t1             -          PF13895_full         -            4.5e-40  138.0   5.0   1.7e-11   45.1   0.1   4.2   1   1   3   4   4   4   4 -
g31133.t1            -          PF13895_full         -            4.8e-40  137.9  14.3   6.4e-17   62.7   3.1   3.8   1   1   3   4   4   4   3 -
g22435.t1            -          PF13895_full         -            4.9e-40  137.9   6.8   2.6e-14   54.2   0.0   4.6   2   2   2   4   4   4   4 -
g25103.t1            -          PF13895_full         -            5.3e-40  137.8   1.4   4.7e-18   66.4   0.3   3.2   1   1   2   3   3   3   3 -
g29471.t1            -          PF13895_full         -            9.3e-40  137.0  23.0   3.6e-13   50.5   0.6   4.4   1   1   2   4   4   4   4 -
g14678.t1            -          PF13895_full         -              1e-39  136.8  13.5   2.8e-13   50.9   0.0   4.2   1   1   3   4   4   4   4 -
g7920.t1             -          PF13895_full         -            1.3e-39  136.5   4.9   4.3e-13   50.3   0.0   3.2   1   1   2   3   3   3   3 -
g25176.t1            -          PF13895_full         -            3.7e-39  135.0   3.1   1.2e-11   45.5   0.0   3.4   1   1   2   3   3   3   3 -
g25721.t1            -          PF13895_full         -            4.2e-39  134.9   7.8   2.3e-13   51.1   0.1   4.1   1   1   2   4   4   4   4 -
g18031.t1            -          PF13895_full         -            4.6e-39  134.7   0.0   5.7e-13   49.9   0.0   3.1   1   1   2   3   3   3   3 -
g14349.t1            -          PF13895_full         -            5.7e-39  134.5   0.9   2.1e-09   38.2   0.1   5.3   1   1   4   5   5   5   4 -
g27030.t1            -          PF13895_full         -            2.2e-38  132.6   2.1   1.8e-13   51.5   0.6   3.3   1   1   2   3   3   3   3 -
g14614.t1            -          PF13895_full         -              3e-38  132.1  16.6   3.4e-12   47.3   0.3   5.4   1   1   4   5   5   5   3 -
g17676.t1            -          PF13895_full         -            3.1e-38  132.1   0.4   1.7e-15   58.1   0.0   3.8   2   1   2   4   4   3   3 -
g24902.t1            -          PF13895_full         -            3.7e-38  131.8   0.0   7.3e-13   49.5   0.2   3.1   1   1   2   3   3   3   3 -
g30889.t2            -          PF13895_full         -            5.1e-38  131.3   4.8   5.5e-13   49.9   0.2   4.2   2   2   2   4   4   4   4 -
g18061.t1            -          PF13895_full         -            6.6e-38  131.0   7.4   2.3e-07   31.6   0.2   6.1   3   2   2   6   6   6   6 -
g2042.t2             -          PF13895_full         -            1.9e-37  129.5   6.4   1.7e-16   61.4   0.1   3.6   1   1   2   3   3   3   3 -
g2042.t1             -          PF13895_full         -            2.5e-37  129.1   6.4   1.8e-16   61.2   0.1   3.6   1   1   2   3   3   3   3 -
g25179.t2            -          PF13895_full         -            2.7e-37  129.0   8.5   2.3e-14   54.4   1.3   3.3   1   1   2   3   3   3   3 -
g25179.t1            -          PF13895_full         -            3.7e-37  128.5   6.4   3.8e-14   53.7   1.1   3.5   1   1   2   3   3   3   3 -
g14552.t1            -          PF13895_full         -            4.1e-37  128.4  16.8     2e-15   57.8   1.9   3.2   1   1   2   3   3   3   3 -
g26799.t1            -          PF13895_full         -            6.3e-37  127.8   5.4   1.2e-13   52.0   0.3   3.2   1   1   2   3   3   3   3 -
g5386.t1             -          PF13895_full         -            6.5e-37  127.8   1.5   1.6e-12   48.4   0.0   4.1   2   1   2   4   4   4   4 -
g3765.t1             -          PF13895_full         -            7.1e-37  127.6  11.2   9.3e-15   55.7   0.6   3.7   2   1   2   4   4   3   3 -
g31905.t1            -          PF13895_full         -              1e-36  127.1   0.1   1.2e-19   71.6   0.0   2.0   1   1   1   2   2   2   2 -
g2042.t3             -          PF13895_full         -            2.9e-36  125.6   8.7   3.4e-16   60.4   0.1   4.0   2   1   2   4   4   3   3 -
g31392.t1            -          PF13895_full         -            3.4e-36  125.4   2.4   1.7e-13   51.5   0.0   4.0   1   1   2   3   3   3   3 -
g31391.t1            -          PF13895_full         -            6.2e-36  124.6  25.9   1.3e-20   74.7   2.4   4.2   1   1   3   4   4   4   3 -
g28272.t1            -          PF13895_full         -            6.9e-36  124.4   8.4   2.3e-13   51.1   0.0   3.5   2   1   2   4   4   3   3 -
g5266.t2             -          PF13895_full         -            7.1e-36  124.4   0.0   1.5e-12   48.4   0.0   3.4   1   1   2   3   3   3   3 -
g14139.t1            -          PF13895_full         -            7.5e-36  124.3   6.9   2.2e-12   47.9   0.1   3.4   1   1   2   3   3   3   3 -
g14139.t2            -          PF13895_full         -            9.9e-36  123.9   6.9   2.5e-12   47.8   0.1   3.4   1   1   2   3   3   3   3 -
g5266.t1             -          PF13895_full         -            1.1e-35  123.7   0.0   1.8e-12   48.2   0.0   3.4   1   1   2   3   3   3   3 -
g28276.t1            -          PF13895_full         -            1.2e-35  123.7   4.1   3.2e-13   50.7   2.4   3.5   1   1   2   3   3   3   3 -
g28276.t2            -          PF13895_full         -            1.3e-35  123.5   6.5   1.8e-13   51.5   2.4   3.5   2   1   2   4   4   3   3 -
g14612.t1            -          PF13895_full         -            1.7e-35  123.1  14.0   1.9e-10   41.7   0.0   5.3   1   1   3   5   5   5   5 -
g31827.t1            -          PF13895_full         -            2.7e-35  122.5   0.4   1.2e-11   45.5   0.3   3.2   1   1   2   3   3   3   3 -
g19310.t1            -          PF13895_full         -            2.7e-35  122.5   0.0   8.3e-10   39.5   0.0   5.1   1   1   2   5   5   5   3 -
g19835.t2            -          PF13895_full         -            3.7e-35  122.0  16.4   1.9e-11   44.9   0.7   3.2   1   1   2   3   3   3   3 -
g24891.t1            -          PF13895_full         -            3.7e-35  122.0   0.8     1e-12   49.0   0.0   3.3   1   1   2   3   3   3   3 -
g20014.t1            -          PF13895_full         -            4.7e-35  121.7   1.9   9.2e-09   36.1   0.1   4.3   1   1   3   4   4   4   4 -
g29468.t1            -          PF13895_full         -            5.5e-35  121.5   9.0   4.3e-11   43.7   0.1   3.3   1   1   2   3   3   3   3 -
g30791.t1            -          PF13895_full         -            6.7e-35  121.2   0.5   6.3e-12   46.5   0.0   3.1   1   1   2   3   3   3   3 -
g3912.t1             -          PF13895_full         -            7.4e-35  121.1   1.6   3.7e-13   50.5   0.0   3.6   1   1   2   3   3   3   3 -
g30043.t1            -          PF13895_full         -            1.1e-34  120.5   0.4   5.7e-13   49.9   0.0   3.1   1   1   2   3   3   3   3 -
g24533.t1            -          PF13895_full         -            1.3e-34  120.2  10.1   9.4e-12   45.9   0.4   3.3   2   1   1   3   3   3   3 -
g23410.t1            -          PF13895_full         -            1.6e-34  119.9   9.0   1.3e-14   55.2   0.6   3.6   1   1   2   3   3   3   3 -
g23410.t2            -          PF13895_full         -            1.7e-34  119.9   9.0   1.3e-14   55.2   0.6   3.6   1   1   2   3   3   3   3 -
g11885.t3            -          PF13895_full         -            1.9e-34  119.7   5.5   4.3e-15   56.7   0.1   3.3   1   1   2   3   3   3   3 -
g23410.t3            -          PF13895_full         -            2.6e-34  119.3   9.9   1.2e-14   55.3   0.5   3.6   1   1   2   3   3   3   3 -
g11885.t1            -          PF13895_full         -            3.1e-34  119.0   5.5   5.3e-15   56.5   0.1   3.3   1   1   2   3   3   3   3 -
g17399.t1            -          PF13895_full         -            3.7e-34  118.8   7.3   3.2e-19   70.2   0.6   2.8   2   1   1   3   3   2   2 -
g24324.t1            -          PF13895_full         -            3.8e-34  118.7   0.2   4.4e-14   53.5   0.0   3.3   1   1   2   3   3   3   3 -
g11885.t2            -          PF13895_full         -            5.1e-34  118.3   5.3     7e-15   56.1   0.1   3.3   1   1   2   3   3   3   3 -
g10400.t2            -          PF13895_full         -            7.2e-34  117.8   3.9   1.1e-13   52.2   0.3   3.0   1   1   2   3   3   3   3 -
g9774.t1             -          PF13895_full         -              1e-33  117.3   1.5   2.2e-17   64.2   0.0   2.4   1   1   1   2   2   2   2 -
g8388.t1             -          PF13895_full         -            1.5e-33  116.8   5.8   1.7e-10   41.8   0.0   3.5   2   1   2   4   4   3   3 -
g19012.t1            -          PF13895_full         -            2.1e-33  116.3   1.7   1.7e-11   45.0   0.0   3.4   1   1   2   3   3   3   3 -
g8076.t1             -          PF13895_full         -            2.8e-33  115.9   2.3     2e-16   61.1   0.0   2.2   1   1   1   2   2   2   2 -
g10400.t1            -          PF13895_full         -            8.4e-33  114.4   3.8   3.2e-13   50.6   0.2   3.2   1   1   2   3   3   3   3 -
g14703.t1            -          PF13895_full         -              1e-32  114.1  13.3   1.8e-12   48.2   0.7   3.2   2   1   1   3   3   3   3 -
g3905.t1             -          PF13895_full         -            1.3e-32  113.7  18.4   2.2e-13   51.2   0.0   5.9   3   1   2   6   6   3   3 -
g28885.t1            -          PF13895_full         -            1.9e-32  113.2   9.8   9.1e-15   55.7   0.3   3.2   1   1   2   3   3   3   2 -
g5363.t1             -          PF13895_full         -            2.6e-32  112.8   1.8   1.5e-14   55.0   0.1   4.5   1   1   1   3   3   3   3 -
g22835.t1            -          PF13895_full         -            3.6e-32  112.3   2.7   3.8e-16   60.2   0.0   2.9   1   1   1   2   2   2   2 -
g1299.t1             -          PF13895_full         -            4.3e-32  112.1   4.4   1.1e-10   42.3   0.1   3.4   1   1   2   3   3   3   3 -
g29128.t2            -          PF13895_full         -            5.9e-32  111.6   8.6   1.5e-10   41.9   0.4   4.3   2   1   2   4   4   4   4 -
g16768.t2            -          PF13895_full         -            6.5e-32  111.5   9.9     5e-14   53.3   3.9   3.2   1   1   2   3   3   3   3 -
g23407.t1            -          PF13895_full         -            7.1e-32  111.4   2.6   1.7e-16   61.3   0.8   2.1   1   1   1   2   2   2   2 -
g2208.t1             -          PF13895_full         -            9.5e-32  110.9   1.2   2.3e-10   41.4   0.1   3.5   1   1   2   3   3   3   3 -
g18032.t1            -          PF13895_full         -            1.5e-31  110.3   1.9   6.1e-14   53.0   0.1   3.4   1   1   2   3   3   3   3 -
g27507.t1            -          PF13895_full         -            2.4e-31  109.6  10.1   3.6e-08   34.2   0.0   6.0   2   2   3   5   5   5   4 -
g5389.t1             -          PF13895_full         -            2.7e-31  109.5   0.8   3.6e-15   57.0   0.4   2.2   1   1   1   2   2   2   2 -
g12253.t1            -          PF13895_full         -            3.5e-31  109.1   8.1   5.2e-17   63.0   0.3   3.9   2   1   2   4   4   3   2 -
g12254.t1            -          PF13895_full         -            1.1e-30  107.4   3.0   7.5e-20   72.2   0.7   3.2   1   1   2   3   3   3   2 -
g22464.t1            -          PF13895_full         -            1.8e-30  106.8   1.2   1.4e-10   42.1   0.1   3.3   1   1   1   3   3   3   3 -
g25176.t2            -          PF13895_full         -            2.1e-30  106.5   1.6   8.6e-12   46.0   0.0   3.3   1   1   2   3   3   3   3 -
g2483.t1             -          PF13895_full         -            3.7e-30  105.8   5.3   2.2e-15   57.7   0.1   2.8   2   1   1   3   3   2   2 -
g28277.t1            -          PF13895_full         -            1.3e-29  104.0  11.4   1.3e-15   58.4   1.6   3.2   1   1   2   3   3   3   3 -
g9773.t1             -          PF13895_full         -            2.7e-29  103.0   0.1   2.2e-18   67.4   0.3   2.3   2   0   0   2   2   2   2 -
g26403.t1            -          PF13895_full         -            2.7e-29  103.0  10.3   2.4e-15   57.6   1.0   3.1   1   1   2   3   3   3   3 -
g20044.t2            -          PF13895_full         -            3.1e-29  102.7   5.8   1.5e-11   45.2   0.1   3.2   1   1   2   3   3   3   3 -
g2486.t1             -          PF13895_full         -            4.1e-29  102.4   8.5   3.5e-16   60.3   0.6   2.6   2   1   1   3   3   2   2 -
g22474.t1            -          PF13895_full         -            4.8e-29  102.1   4.2   5.2e-11   43.5   0.1   3.8   3   1   1   4   4   3   3 -
g22468.t1            -          PF13895_full         -              9e-29  101.3   0.1   7.1e-09   36.5   0.0   3.3   1   1   2   3   3   3   3 -
g20044.t1            -          PF13895_full         -            1.1e-28  100.9   5.7   2.6e-11   44.5   0.1   3.4   1   1   2   3   3   3   3 -
g7489.t1             -          PF13895_full         -            1.5e-28  100.5   0.1   3.3e-14   53.9   0.0   3.6   2   1   1   3   3   2   2 -
g31315.t1            -          PF13895_full         -              2e-28  100.1   4.1   1.9e-13   51.4   0.1   2.3   1   1   1   2   2   2   2 -
g25340.t1            -          PF13895_full         -            2.6e-28   99.8   7.5   3.7e-10   40.7   0.7   3.2   1   1   2   3   3   3   3 -
g7919.t1             -          PF13895_full         -            3.8e-28   99.2   0.3   2.8e-14   54.1   0.4   3.3   2   1   1   3   3   3   2 -
g20121.t2            -          PF13895_full         -              4e-28   99.2  13.6   2.9e-14   54.1   1.7   3.6   2   1   2   4   4   3   3 -
g6477.t1             -          PF13895_full         -            4.4e-28   99.0  13.8   2.5e-16   60.8   1.4   2.8   2   1   1   3   3   2   2 -
g15086.t1            -          PF13895_full         -              9e-28   98.0  17.6   4.5e-11   43.7   4.0   3.4   1   1   2   3   3   3   3 -
g31276.t1            -          PF13895_full         -            1.5e-27   97.2   0.7   1.8e-13   51.5   0.0   2.4   1   1   1   2   2   2   2 -
g31392.t2            -          PF13895_full         -            2.1e-27   96.8   3.1   1.1e-13   52.1   0.1   4.0   1   1   2   3   3   3   3 -
g15086.t2            -          PF13895_full         -            2.4e-27   96.6  17.5   3.9e-11   43.9   3.9   3.4   1   1   2   3   3   3   3 -
g14735.t1            -          PF13895_full         -            1.1e-26   94.5   0.4   5.2e-10   40.2   0.0   3.3   1   1   2   3   3   3   3 -
g29603.t1            -          PF13895_full         -            1.2e-26   94.4   5.2     3e-15   57.3   1.3   2.0   1   1   1   2   2   2   2 -
g14735.t2            -          PF13895_full         -            1.3e-26   94.3   0.3   4.6e-10   40.4   0.0   3.3   1   1   2   3   3   3   3 -
g17334.t1            -          PF13895_full         -            1.3e-26   94.2   0.4     8e-16   59.1   0.3   2.7   1   1   1   2   2   2   2 -
g30114.t1            -          PF13895_full         -            1.6e-26   93.9   6.6     5e-14   53.3   4.5   2.0   1   1   1   2   2   2   2 -
g17334.t2            -          PF13895_full         -            1.9e-26   93.7   0.9     1e-15   58.8   0.2   3.0   1   1   2   3   3   2   2 -
g21531.t2            -          PF13895_full         -            2.1e-26   93.6   1.9   2.5e-14   54.2   0.4   2.3   1   1   1   2   2   2   2 -
g17334.t3            -          PF13895_full         -            2.6e-26   93.2   0.9   1.3e-15   58.5   0.3   3.0   1   1   2   3   3   2   2 -
g22421.t1            -          PF13895_full         -            3.2e-26   93.0  14.5   1.7e-11   45.0   0.6   3.7   2   2   1   3   3   3   3 -
g12252.t1            -          PF13895_full         -            4.5e-26   92.5  15.8   2.2e-14   54.5   0.1   4.3   2   1   2   4   4   3   2 -
g29718.t2            -          PF13895_full         -            4.5e-26   92.5   9.7   4.8e-14   53.3   4.0   2.2   1   1   1   2   2   2   2 -
g25715.t1            -          PF13895_full         -            4.9e-26   92.4   3.3   3.8e-14   53.7   0.1   2.3   1   1   1   2   2   2   2 -
g21531.t1            -          PF13895_full         -            5.4e-26   92.2   1.9   4.1e-14   53.6   0.4   2.2   1   1   1   2   2   2   2 -
g24869.t2            -          PF13895_full         -            5.8e-26   92.1   1.1   1.4e-14   55.1   0.1   3.7   1   1   2   3   3   2   2 -
g29718.t1            -          PF13895_full         -            6.5e-26   92.0   9.6   5.6e-14   53.1   3.7   2.2   1   1   1   2   2   2   2 -
g2498.t2             -          PF13895_full         -            6.8e-26   91.9   0.3   5.5e-12   46.7   0.1   2.6   1   1   1   2   2   2   2 -
g2498.t1             -          PF13895_full         -              7e-26   91.8   0.3   5.6e-12   46.6   0.1   2.6   1   1   1   2   2   2   2 -
g24869.t1            -          PF13895_full         -            7.1e-26   91.8   1.1   1.4e-14   55.1   0.1   3.5   1   1   2   3   3   2   2 -
g30812.t1            -          PF13895_full         -            7.5e-26   91.8   0.1   3.4e-13   50.6   0.0   2.0   1   1   1   2   2   2   2 -
g22487.t1            -          PF13895_full         -            8.6e-26   91.6   1.9   2.1e-13   51.2   0.1   4.8   3   1   2   5   5   5   2 -
g20603.t1            -          PF13895_full         -            8.7e-26   91.6   2.2   2.2e-15   57.7   0.1   2.7   1   1   1   2   2   2   2 -
g5388.t1             -          PF13895_full         -            9.7e-26   91.4   0.8   5.1e-14   53.3   0.1   2.5   1   1   1   2   2   2   2 -
g20015.t2            -          PF13895_full         -            2.6e-25   90.0   1.6   8.3e-07   29.8   0.0   3.3   1   1   2   3   3   3   3 -
g30465.t1            -          PF13895_full         -            2.9e-25   89.8   3.3   3.6e-14   53.7   1.4   2.3   1   1   1   2   2   2   2 -
g25244.t1            -          PF13895_full         -            3.2e-25   89.7   4.9   3.1e-14   53.9   0.6   2.3   1   1   1   2   2   2   2 -
g15146.t1            -          PF13895_full         -            3.9e-25   89.4  18.0   6.2e-13   49.7   2.4   3.4   2   1   1   3   3   3   3 -
g8388.t2             -          PF13895_full         -              5e-25   89.1   1.5     1e-10   42.5   0.1   3.2   1   1   2   3   3   3   2 -
g27916.t1            -          PF13895_full         -            5.8e-25   88.9  12.7   5.1e-10   40.2   4.1   3.1   1   1   2   3   3   3   3 -
g25244.t2            -          PF13895_full         -            6.7e-25   88.7   5.1   3.3e-14   53.9   0.7   2.3   1   1   1   2   2   2   2 -
g3062.t1             -          PF13895_full         -            8.1e-25   88.4   5.2   1.2e-15   58.5   2.4   5.1   1   1   1   4   4   2   2 -
g14282.t1            -          PF13895_full         -            9.9e-25   88.1   1.5   5.4e-09   36.9   0.2   3.4   1   1   2   3   3   3   3 -
