#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
g20566.t1            -          PF13927_seed         -                  0 2149.1 211.3     9e-15   57.3   0.2  57.2  56   1   0  56  56  56  56 -
g53200.t1            -          PF13927_seed         -                  0 1832.0   9.3   6.3e-16   61.0   0.0  40.9  41   0   0  41  41  40  39 -
g77201.t1            -          PF13927_seed         -            5.6e-62  208.5   5.4   2.1e-16   62.5   0.1   6.4   6   0   0   6   6   6   5 -
g46624.t1            -          PF13927_seed         -            1.2e-60  204.3   1.9   3.7e-16   61.8   0.1   4.4   4   0   0   4   4   4   4 -
g72669.t2            -          PF13927_seed         -            1.5e-59  200.8  30.7   2.5e-12   49.5   0.7   7.9   7   1   1   8   8   7   7 -
g72669.t1            -          PF13927_seed         -            2.1e-59  200.3  30.7   2.6e-12   49.4   0.7   7.9   7   1   1   8   8   7   7 -
g59525.t1            -          PF13927_seed         -            6.3e-59  198.8  29.9   1.8e-11   46.7   0.1  10.7   8   4   2  10  10   9   5 -
g8987.t1             -          PF13927_seed         -            8.1e-59  198.4   0.3   3.8e-15   58.5   0.0   4.1   4   0   0   4   4   4   4 -
g27447.t1            -          PF13927_seed         -            8.3e-59  198.4  16.9   7.7e-15   57.5   0.4   4.6   5   0   0   5   5   4   4 -
g82681.t1            -          PF13927_seed         -            9.4e-58  195.0   6.7   3.4e-16   61.9   0.1   5.5   5   1   0   5   5   5   4 -
g23825.t1            -          PF13927_seed         -            4.7e-57  192.8  15.6     2e-15   59.4   0.1   5.8   6   0   0   6   6   5   4 -
g11570.t1            -          PF13927_seed         -              3e-56  190.2   4.6   2.8e-15   58.9   0.0   4.4   4   0   0   4   4   4   4 -
g17019.t1            -          PF13927_seed         -            3.2e-54  183.7   9.3   4.4e-14   55.1   0.3   4.3   4   0   0   4   4   4   4 -
g63759.t1            -          PF13927_seed         -            3.6e-54  183.5   3.7   2.5e-15   59.1   0.0   4.4   4   0   0   4   4   4   3 -
g54674.t1            -          PF13927_seed         -            5.8e-54  182.9   0.3   4.9e-18   67.8   0.0   3.2   3   0   0   3   3   3   3 -
g78834.t1            -          PF13927_seed         -            5.8e-54  182.9   0.3   4.9e-18   67.8   0.0   3.2   3   0   0   3   3   3   3 -
g22682.t1            -          PF13927_seed         -            1.3e-53  181.7   7.2   2.5e-16   62.3   0.1   5.1   5   0   0   5   5   4   4 -
g59909.t1            -          PF13927_seed         -            7.7e-53  179.3   4.1   4.5e-14   55.0   0.1   4.8   4   0   0   4   4   4   4 -
g59190.t1            -          PF13927_seed         -            3.7e-52  177.1   0.4   4.8e-16   61.4   0.0   3.5   3   0   0   3   3   3   3 -
g73184.t1            -          PF13927_seed         -            5.2e-52  176.6   9.6   3.8e-09   39.3   0.1   7.5   7   0   0   7   7   7   6 -
g79160.t1            -          PF13927_seed         -            2.5e-51  174.5   1.1   1.1e-16   63.4   0.1   3.1   3   0   0   3   3   3   3 -
g23488.t1            -          PF13927_seed         -            7.5e-51  172.9  12.9   6.2e-13   51.4   0.1   6.2   6   1   1   7   7   5   5 -
g10896.t1            -          PF13927_seed         -            8.1e-51  172.8   4.3   4.7e-16   61.4   0.5   3.7   3   0   0   3   3   3   3 -
g80159.t1            -          PF13927_seed         -              9e-51  172.7   2.3   3.4e-16   61.8   0.7   3.5   3   0   0   3   3   3   3 -
g79162.t1            -          PF13927_seed         -            1.2e-50  172.2   1.1   2.2e-16   62.5   0.1   3.4   3   0   0   3   3   3   3 -
g45714.t1            -          PF13927_seed         -            1.2e-50  172.2   6.4   8.7e-15   57.3   0.1   4.3   4   0   0   4   4   4   4 -
g50221.t1            -          PF13927_seed         -            1.7e-50  171.8   1.3   6.7e-15   57.7   0.2   4.0   4   0   0   4   4   3   3 -
g60664.t1            -          PF13927_seed         -            3.9e-50  170.6   5.9   6.8e-16   60.9   0.6   3.5   3   0   0   3   3   3   3 -
g60667.t1            -          PF13927_seed         -            3.9e-50  170.6   5.9   6.8e-16   60.9   0.6   3.5   3   0   0   3   3   3   3 -
g63829.t1            -          PF13927_seed         -              4e-50  170.6  14.6   1.8e-13   53.1   0.0   5.4   6   0   0   6   6   4   4 -
g25834.t1            -          PF13927_seed         -            1.4e-49  168.8   8.3   1.4e-15   59.8   0.8   3.7   4   0   0   4   4   3   3 -
g8335.t1             -          PF13927_seed         -            1.5e-49  168.7   3.3   4.2e-16   61.6   0.2   4.3   4   0   0   4   4   3   3 -
g28935.t1            -          PF13927_seed         -            1.6e-49  168.6   0.3   2.1e-14   56.1   0.1   4.1   4   0   0   4   4   4   4 -
g36549.t1            -          PF13927_seed         -            1.9e-49  168.4   5.9   3.4e-15   58.7   0.1   4.1   4   0   0   4   4   4   4 -
g68339.t1            -          PF13927_seed         -            2.2e-49  168.2   0.6   3.7e-15   58.5   0.1   3.5   3   0   0   3   3   3   3 -
g41443.t1            -          PF13927_seed         -            2.3e-49  168.2   9.7   5.3e-12   48.4   0.2   5.5   5   0   0   5   5   5   5 -
g2080.t1             -          PF13927_seed         -            3.1e-49  167.7   1.6   1.3e-14   56.8   0.0   3.3   3   0   0   3   3   3   3 -
g67776.t1            -          PF13927_seed         -            5.9e-49  166.8   0.2   1.8e-15   59.6   0.0   3.3   3   0   0   3   3   3   3 -
g60716.t1            -          PF13927_seed         -            7.6e-49  166.5   0.4   2.1e-18   68.9   0.0   3.1   3   0   0   3   3   3   3 -
g60716.t2            -          PF13927_seed         -              9e-49  166.2   0.4   2.3e-18   68.8   0.0   3.1   3   0   0   3   3   3   3 -
g41976.t1            -          PF13927_seed         -            1.4e-48  165.6   5.4   8.3e-15   57.4   0.0   3.6   3   0   0   3   3   3   3 -
g8336.t1             -          PF13927_seed         -              2e-48  165.1   3.4   1.3e-15   59.9   0.1   4.4   4   0   0   4   4   3   3 -
g57930.t1            -          PF13927_seed         -            2.8e-48  164.7   0.9   9.6e-11   44.4   0.1   4.1   4   0   0   4   4   4   4 -
g20818.t1            -          PF13927_seed         -            2.9e-48  164.6  10.4   9.2e-17   63.7   1.7   3.4   3   0   0   3   3   3   3 -
g51271.t1            -          PF13927_seed         -              3e-48  164.6   2.4     4e-16   61.6   0.2   3.5   3   0   0   3   3   3   3 -
g41979.t1            -          PF13927_seed         -            3.8e-48  164.2   5.4   1.2e-14   56.9   0.0   3.7   3   0   0   3   3   3   3 -
g73358.t1            -          PF13927_seed         -            4.4e-48  164.0   2.1   2.5e-15   59.1   0.0   3.3   3   0   0   3   3   3   3 -
g47326.t1            -          PF13927_seed         -            5.4e-48  163.8   0.1   2.9e-14   55.7   0.0   4.0   3   0   0   3   3   3   3 -
g31150.t1            -          PF13927_seed         -            5.6e-48  163.7   1.0   1.8e-17   66.0   0.0   3.2   3   0   0   3   3   3   3 -
g47325.t1            -          PF13927_seed         -            7.3e-48  163.3   0.1   3.3e-14   55.5   0.0   4.0   3   0   0   3   3   3   3 -
g80521.t1            -          PF13927_seed         -            9.3e-48  163.0   3.8   1.3e-14   56.7   0.0   5.0   4   0   0   4   4   4   4 -
g74601.t1            -          PF13927_seed         -            9.3e-48  163.0  11.3   2.2e-11   46.4   0.0   6.1   6   0   0   6   6   5   4 -
g16545.t1            -          PF13927_seed         -            9.6e-48  163.0   0.4   4.8e-16   61.4   0.0   3.5   3   0   0   3   3   3   3 -
g1647.t1             -          PF13927_seed         -            9.7e-48  162.9   1.6     3e-17   65.2   0.0   3.8   4   0   0   4   4   3   3 -
g16544.t1            -          PF13927_seed         -            1.1e-47  162.8   0.4   5.4e-16   61.2   0.0   3.7   3   0   0   3   3   3   3 -
g7133.t2             -          PF13927_seed         -            1.1e-47  162.8   0.4   5.7e-13   51.5   0.0   4.9   4   0   0   4   4   4   4 -
g55218.t1            -          PF13927_seed         -            1.3e-47  162.6   0.4   8.9e-17   63.7   0.0   3.2   3   0   0   3   3   3   3 -
g43303.t1            -          PF13927_seed         -            1.3e-47  162.6  13.1   2.8e-14   55.7   0.3   4.2   4   0   0   4   4   4   4 -
g9610.t1             -          PF13927_seed         -            1.3e-47  162.5   4.8   3.8e-15   58.5   0.1   3.5   3   0   0   3   3   3   3 -
g51583.t1            -          PF13927_seed         -            1.3e-47  162.5   0.8     4e-17   64.8   0.0   3.1   3   0   0   3   3   3   3 -
g23489.t1            -          PF13927_seed         -            1.4e-47  162.4   8.2   2.7e-11   46.1   0.3   5.7   5   0   0   5   5   5   5 -
g46406.t1            -          PF13927_seed         -            1.5e-47  162.3  21.5   1.7e-13   53.2   0.5   7.6   6   1   1   7   7   6   5 -
g55217.t1            -          PF13927_seed         -            1.5e-47  162.3   0.4   9.9e-17   63.6   0.0   3.3   3   0   0   3   3   3   3 -
g55217.t2            -          PF13927_seed         -            1.7e-47  162.1   0.4     1e-16   63.5   0.0   3.3   3   0   0   3   3   3   3 -
g2809.t1             -          PF13927_seed         -            1.8e-47  162.1   0.1   2.6e-13   52.6   0.0   4.4   4   0   0   4   4   4   4 -
g16457.t1            -          PF13927_seed         -            1.8e-47  162.0   1.6   2.4e-12   49.5   0.0   4.8   5   0   0   5   5   4   4 -
g20367.t1            -          PF13927_seed         -            1.9e-47  162.0   3.8   1.2e-14   56.9   0.3   3.6   3   0   0   3   3   3   3 -
g73405.t1            -          PF13927_seed         -            2.3e-47  161.8   0.3   2.7e-16   62.2   0.0   4.3   4   0   0   4   4   3   3 -
g46058.t1            -          PF13927_seed         -            2.5e-47  161.6   0.4     8e-17   63.9   0.0   3.6   3   0   0   3   3   3   3 -
g46059.t1            -          PF13927_seed         -            2.5e-47  161.6   0.4     8e-17   63.9   0.0   3.6   3   0   0   3   3   3   3 -
g76141.t1            -          PF13927_seed         -            2.6e-47  161.5   1.9   5.8e-14   54.7   0.0   3.6   3   0   0   3   3   3   3 -
g53884.t1            -          PF13927_seed         -              3e-47  161.4   0.7   1.2e-10   44.1   0.0   4.2   4   0   0   4   4   4   4 -
g68949.t1            -          PF13927_seed         -              3e-47  161.3   0.2   4.3e-19   71.2   0.0   3.2   3   0   0   3   3   3   3 -
g18264.t1            -          PF13927_seed         -            3.2e-47  161.3   1.6   2.4e-15   59.2   0.3   3.5   3   0   0   3   3   3   3 -
g76355.t1            -          PF13927_seed         -            3.2e-47  161.3   0.3   2.7e-16   62.2   0.0   3.2   3   0   0   3   3   3   3 -
g21975.t2            -          PF13927_seed         -            3.4e-47  161.2   8.5   7.4e-16   60.8   0.4   4.1   4   0   0   4   4   3   3 -
g16455.t1            -          PF13927_seed         -              4e-47  161.0   5.0   3.6e-12   49.0   0.0   5.8   6   0   0   6   6   4   4 -
g30531.t2            -          PF13927_seed         -            5.2e-47  160.6  12.2   1.3e-11   47.2   0.0   5.5   5   0   0   5   5   5   4 -
g74393.t1            -          PF13927_seed         -            5.8e-47  160.5   4.6   1.8e-16   62.7   0.3   3.6   4   0   0   4   4   3   3 -
g21975.t1            -          PF13927_seed         -            5.8e-47  160.4   8.5   8.9e-16   60.5   0.4   4.1   4   0   0   4   4   3   3 -
g20366.t1            -          PF13927_seed         -            6.6e-47  160.3   3.0   4.3e-14   55.1   0.3   3.6   3   0   0   3   3   3   3 -
g53200.t2            -          PF13927_seed         -            6.7e-47  160.2   4.0   6.3e-14   54.6   0.0   4.4   4   0   0   4   4   3   3 -
g44286.t1            -          PF13927_seed         -            6.9e-47  160.2   0.2     4e-15   58.4   0.0   3.5   3   0   0   3   3   3   3 -
g7276.t1             -          PF13927_seed         -            7.3e-47  160.1   0.5   1.5e-16   63.0   0.1   3.7   3   0   0   3   3   3   3 -
g74058.t1            -          PF13927_seed         -            9.3e-47  159.8   2.1   3.8e-16   61.7   0.1   4.8   4   0   0   4   4   4   4 -
g10108.t1            -          PF13927_seed         -              1e-46  159.7   6.2   1.2e-14   56.9   0.1   3.4   3   0   0   3   3   3   3 -
g73703.t1            -          PF13927_seed         -            1.1e-46  159.6   0.6   7.4e-10   41.5   0.0   4.3   4   0   0   4   4   4   4 -
g16543.t1            -          PF13927_seed         -            1.2e-46  159.5   2.3   2.4e-17   65.6   0.0   3.7   3   0   0   3   3   3   3 -
g17806.t1            -          PF13927_seed         -            1.5e-46  159.1   0.4   8.1e-17   63.9   0.0   3.3   3   0   0   3   3   3   3 -
g16542.t1            -          PF13927_seed         -            1.7e-46  158.9   3.1   1.3e-16   63.2   0.1   3.8   4   0   0   4   4   3   3 -
g8965.t1             -          PF13927_seed         -            1.8e-46  158.8   7.3   9.3e-15   57.3   0.2   4.0   4   0   0   4   4   3   3 -
g73359.t1            -          PF13927_seed         -              2e-46  158.7   5.3     2e-15   59.4   0.2   3.9   4   0   0   4   4   3   3 -
g30305.t1            -          PF13927_seed         -            2.6e-46  158.4  10.5   1.9e-15   59.4   0.3   3.6   4   0   0   4   4   3   3 -
g79889.t1            -          PF13927_seed         -            3.6e-46  157.9   7.3   6.9e-14   54.5   0.2   4.0   4   0   0   4   4   3   3 -
g64393.t1            -          PF13927_seed         -            3.6e-46  157.9   7.3   6.9e-14   54.5   0.2   4.0   4   0   0   4   4   3   3 -
g13694.t1            -          PF13927_seed         -            3.9e-46  157.8   2.1   1.8e-18   69.1   0.0   4.3   4   0   0   4   4   3   3 -
g41977.t1            -          PF13927_seed         -            3.9e-46  157.8   2.4   3.9e-14   55.3   0.0   3.5   3   0   0   3   3   3   3 -
g41153.t1            -          PF13927_seed         -            4.5e-46  157.6   4.3   5.3e-14   54.8   0.3   3.5   3   0   0   3   3   3   3 -
g31134.t1            -          PF13927_seed         -            4.6e-46  157.6   1.5   2.4e-13   52.7   0.0   3.2   3   0   0   3   3   3   3 -
g44382.t1            -          PF13927_seed         -            5.1e-46  157.4   3.3   1.2e-12   50.5   0.0   5.0   4   1   0   4   4   4   4 -
g41978.t1            -          PF13927_seed         -            5.1e-46  157.4   2.4   4.6e-14   55.0   0.0   3.6   3   0   0   3   3   3   3 -
g63699.t1            -          PF13927_seed         -            5.4e-46  157.3   2.2   1.1e-17   66.7   0.1   3.6   3   0   0   3   3   3   3 -
g31147.t1            -          PF13927_seed         -            5.7e-46  157.3   1.5   1.6e-16   62.9   0.0   3.8   4   0   0   4   4   3   3 -
g16604.t1            -          PF13927_seed         -            5.9e-46  157.2   0.9   2.9e-16   62.1   0.1   3.9   4   0   0   4   4   3   3 -
g34578.t1            -          PF13927_seed         -            8.7e-46  156.7   9.3     1e-11   47.5   0.0   7.0   5   3   0   6   6   5   4 -
g34579.t1            -          PF13927_seed         -            8.7e-46  156.7   9.3     1e-11   47.5   0.0   7.0   5   3   0   6   6   5   4 -
g1648.t1             -          PF13927_seed         -              1e-45  156.5   1.6     5e-17   64.5   0.0   3.7   3   0   0   3   3   3   3 -
g57284.t1            -          PF13927_seed         -            1.1e-45  156.4   0.5   8.6e-15   57.4   0.0   4.0   4   0   0   4   4   3   3 -
g15716.t1            -          PF13927_seed         -            1.2e-45  156.2   3.1   1.6e-13   53.3   0.2   3.5   3   0   0   3   3   3   3 -
g39344.t1            -          PF13927_seed         -            1.2e-45  156.2   4.6   2.6e-17   65.4   0.1   3.6   3   0   0   3   3   3   3 -
g29887.t1            -          PF13927_seed         -            1.5e-45  155.9   0.5   4.1e-11   45.6   0.0   4.1   4   0   0   4   4   4   4 -
g15663.t1            -          PF13927_seed         -            1.6e-45  155.9  18.5   1.1e-12   50.6   0.2   4.4   4   0   0   4   4   4   4 -
g27204.t1            -          PF13927_seed         -            1.8e-45  155.6   3.5   1.6e-17   66.1   0.1   3.8   3   0   0   3   3   3   3 -
g78961.t1            -          PF13927_seed         -            1.9e-45  155.6   5.6   4.2e-14   55.1   0.3   3.6   3   0   0   3   3   3   3 -
g78962.t1            -          PF13927_seed         -            1.9e-45  155.6   5.6   4.2e-14   55.1   0.3   3.6   3   0   0   3   3   3   3 -
g80521.t2            -          PF13927_seed         -            2.1e-45  155.5   2.9   6.6e-13   51.3   0.0   5.1   4   0   0   4   4   4   4 -
g27201.t1            -          PF13927_seed         -            2.1e-45  155.4   3.5   1.8e-17   65.9   0.1   3.8   3   0   0   3   3   3   3 -
g29888.t1            -          PF13927_seed         -            2.2e-45  155.4   0.5   4.6e-11   45.4   0.0   4.2   4   0   0   4   4   4   4 -
g43494.t1            -          PF13927_seed         -              3e-45  154.9   3.2   2.1e-16   62.6   0.0   3.7   3   0   0   3   3   3   3 -
g59910.t1            -          PF13927_seed         -            3.5e-45  154.8   2.4   4.1e-14   55.2   0.1   4.8   3   1   1   4   4   4   4 -
g42762.t1            -          PF13927_seed         -            4.9e-45  154.3   2.2   2.1e-09   40.1   0.0   5.3   5   0   0   5   5   5   4 -
g78376.t1            -          PF13927_seed         -            5.2e-45  154.2   1.2   1.4e-13   53.5   0.0   3.3   3   0   0   3   3   3   3 -
g70131.t1            -          PF13927_seed         -            5.3e-45  154.2  11.3   1.9e-12   49.9   2.0   4.2   4   0   0   4   4   4   4 -
g74394.t1            -          PF13927_seed         -              7e-45  153.8   0.2   7.5e-14   54.3   0.1   3.4   3   0   0   3   3   3   3 -
g83086.t1            -          PF13927_seed         -            7.3e-45  153.7   0.9   1.1e-09   41.0   0.0   6.2   6   0   0   6   6   5   4 -
g76042.t2            -          PF13927_seed         -            1.6e-44  152.6   0.6   7.3e-14   54.4   0.0   3.3   3   0   0   3   3   3   3 -
g40260.t1            -          PF13927_seed         -            1.6e-44  152.6   0.1   3.4e-14   55.5   0.0   3.6   3   0   0   3   3   3   3 -
g76042.t1            -          PF13927_seed         -            1.7e-44  152.5   0.6   7.4e-14   54.4   0.0   3.3   3   0   0   3   3   3   3 -
g72671.t1            -          PF13927_seed         -            2.2e-44  152.2  17.0   1.7e-12   50.0   0.7   6.1   6   0   0   6   6   5   5 -
g2391.t1             -          PF13927_seed         -            2.3e-44  152.1   4.3   1.4e-15   59.9   0.1   4.6   4   0   0   4   4   3   3 -
g72671.t2            -          PF13927_seed         -              3e-44  151.7  17.0   1.8e-12   49.9   0.7   6.1   6   0   0   6   6   5   5 -
g27584.t1            -          PF13927_seed         -            3.5e-44  151.5   2.4   1.8e-14   56.3   0.3   3.7   3   0   0   3   3   3   3 -
g33843.t1            -          PF13927_seed         -              4e-44  151.3   5.8   1.9e-12   49.8   0.0   4.8   5   0   0   5   5   4   4 -
g2300.t1             -          PF13927_seed         -              8e-44  150.4   0.2   2.2e-18   68.9   0.0   3.4   3   0   0   3   3   3   3 -
g78872.t1            -          PF13927_seed         -            9.1e-44  150.2   1.2   8.3e-14   54.2   0.2   3.8   3   0   0   3   3   3   3 -
g59153.t1            -          PF13927_seed         -            3.6e-43  148.3  10.9   4.9e-15   58.1   0.1   4.0   4   0   0   4   4   3   3 -
g59154.t1            -          PF13927_seed         -            3.6e-43  148.3  10.9   4.9e-15   58.1   0.1   4.0   4   0   0   4   4   3   3 -
g78099.t2            -          PF13927_seed         -            4.9e-43  147.9   1.4   4.5e-15   58.3   0.1   3.9   4   0   0   4   4   3   3 -
g67773.t1            -          PF13927_seed         -            5.4e-43  147.7   0.8   1.3e-15   60.0   0.0   3.4   3   0   0   3   3   3   3 -
g75011.t2            -          PF13927_seed         -            5.4e-43  147.7   0.7   3.8e-15   58.5   0.0   3.8   4   0   0   4   4   3   3 -
g75011.t1            -          PF13927_seed         -            6.4e-43  147.5   0.7     4e-15   58.4   0.0   3.9   4   0   0   4   4   3   3 -
g78099.t1            -          PF13927_seed         -            7.2e-43  147.3   1.4   5.1e-15   58.1   0.1   3.9   4   0   0   4   4   3   3 -
g36917.t1            -          PF13927_seed         -              1e-42  146.9   0.4   1.4e-14   56.7   0.1   3.4   3   0   0   3   3   3   3 -
